,company_name,company_location,company_country
2630,"DURAVIT USA, INC.",2635 N BERKELEY LAKE RD NW,UNITED STATES
2631,INTERTEK TESTING SERVICES HOLDINGS LIMITED.,1-9 Brook Street Academy Place,UNITED KINGDOM
2632,AMUNDI REAL ESTATE ITALIA SOCIETA' DI GESTIONE DEL RISPARMIO SPA,VIA CERNAIA 8/10,ITALY
2633,"SALTY DOT, INC.",460 W 50 N STE 500,UNITED STATES
2634,VERISK ANALYTICS LIMITED,22 Bishopsgate,UNITED KINGDOM
2635,SAVILLS INVESTMENT MANAGEMENT SOCIETA' DI GESTIONE DEL RISPARMIO SPA,VIA SAN PAOLO 7,ITALY
2636,INTERCONTINENTAL BOSTON,510 ATLANTIC AVE,UNITED STATES
2637,EISLER CAPITAL (UK) LTD,16 St. James's Street,UNITED KINGDOM
2638,BNP PARIBAS INVESTMENT PARTNERS SOCIETA' DI GESTIONE DEL RISPARMI O SPA IN FORMA ABBREVIATO BNP PAR,PIAZZA LINA BO BARDI 3,ITALY
2639,BLOOMBERG L.P.,731 LEXINGTON AVE,UNITED STATES
2640,EISLER CAPITAL (TS) LTD,16 St James'S Street,UNITED KINGDOM
2641,MEDIOLANUM FARMACEUTICI SPA,VIA SAN GIUSEPPE COTTOLENGO 15,ITALY
2642,LOMBARD ODIER ASSET MANAGEMENT (USA) CORP,452 5TH AVE FL 25,UNITED STATES
2643,EISLER CAPITAL (HC) LTD,16 St James'S Street,UNITED KINGDOM
2644,BANCA MEDIOLANUM SPA,VIA FRANCESCO SFORZA 3,ITALY
2645,NUMO LLC,141 S HIGHLAND AVE,UNITED STATES
2646,EATON ELECTRIC LIMITED,GREAT MARLINGS BUTTERFIELD,UNITED KINGDOM
2647,COGNE ACCIAI SPECIALI SPA,STRADA PARAVERA 16,ITALY
2648,DEUTSCHE BANK U.S FINANCIAL MARKETS HOLDING CORP,60 WALL ST LBBY 1,UNITED STATES
2649,EATON ELECTRICAL SYSTEMS LIMITED,20 Greenhill Crescent,UNITED KINGDOM
2650,LEVITAS SPA,VIA ENRICO STENDHAL 36,ITALY
2651,"MESSER NORTH AMERICA, INC.",200 SOMERSET CORPORATE BLVD STE 7000,UNITED STATES
2652,EATON LIMITED,"Abbey Park Southampton Road, Titchfield",UNITED KINGDOM
2653,S.E.A. SOCIETA' EUROPEA AUTOCARAVAN SPA,VIA VAL D'AOSTA 4,ITALY
2654,"SUDDATH RELOCATION SYSTEMS OF ORLANDO, INC",4850 L B MCLEOD RD,UNITED STATES
2655,COMPANY SHOP LIMITED,"Rockingham House Wentworth Park Industrial Estate, Wentworth Way, Tankersley",UNITED KINGDOM
2656,FBH SPA,STRADA 3 PALAZZO B3,ITALY
2657,"AMAZON.COM.CA, INC.",410 TERRY AVE N,UNITED STATES
2658,VIRTUSA UK LIMITED,"8th Floor Finwell House, 26 Finsbury Square",UNITED KINGDOM
2659,GEOSTOCK SOCIETE' PAR ACTIONS SEMPLIFIEE,VIA CASALINO 5/H,ITALY
2660,AMAZON CORPORATE LLC,440 TERRY AVE N,UNITED STATES
2661,QUALIS U.K. LIMITED,Exchequer Court 33 St. Mary Axe,UNITED KINGDOM
2662,ROTORK INSTRUMENTS ITALY SRL,VIA PORTICO 17,ITALY
2663,"AMAZON.COM.DEDC, LLC",410 TERRY AVE N,UNITED STATES
2664,ITHACA ENERGY DEVELOPMENTS UK LIMITED,2Nd Floor 117 Jermyn Street,UNITED KINGDOM
2665,CATALENT ITALY SPA,VIA NETTUNENSE,ITALY
2666,AMAZON CORPORATE LLC,410 TERRY AVE N,UNITED STATES
2667,PLAY SPORTS NETWORK LIMITED,"Building 2 Chiswick Park, 566 Chiswick High Road",UNITED KINGDOM
2668,CATALENT ITALY HOLDING SRL,VIA NETTUNENSE KM. 20 100,ITALY
2669,AMAZON,515 WESTLAKE AVE N,UNITED STATES
2670,BLACKROCK UK HOLDCO 2 LIMITED,12 Throgmorton Avenue,UNITED KINGDOM
2671,CATALENT ANAGNI SRL,STRADA PROVINCIALE 12 CASILINA  41,ITALY
2672,"SCULPTOR CAPITAL MANAGEMENT, INC.",9 W 57TH ST,UNITED STATES
2673,INTERNATIONAL POWER LTD.,"Second Floor Salisbury House, London Wall",UNITED KINGDOM
2674,TAMINI TRASFORMATORI SRL,VIALE LUIGI CADORNA 56/A,ITALY
2675,"AUSTIN INDUSTRIES, INC.",3535 TRAVIS ST STE 300,UNITED STATES
2676,JRL PLANT AND LOGISTICS LIMITED,4 Elstree Way,UNITED KINGDOM
2677,FRATELLI COSULICH SPA,VIA DANTE ALIGHIERI 5,ITALY
2678,"VF SERVICES, LLC",105 CORPORATE CENTER BLVD,UNITED STATES
2679,NORTHBURN OILS LTD,Southport Road Scarisbrick,UNITED KINGDOM
2680,ONNIVAN SRL,REGIONE CATENA ROSSA 18,ITALY
2681,"CONSTELLATION ENERGY GENERATION, LLC",200 EXELON WAY,UNITED STATES
2682,GATELEY OMEGA LIMITED,One Edmund Street Eleven,UNITED KINGDOM
2683,ONNICAR SRL,CORSO RIDDONE 88,ITALY
2684,"VF OUTDOOR, LLC",1551 WEWATTA ST,UNITED STATES
2685,VITOL SERVICES LIMITED,"4TH FLOOR, NOVA SOUTH 160 VICTORIA STREET",UNITED KINGDOM
2686,CEVA FREIGHT ITALY SRL,VIA JOHN FITZGERALD KENNEDY 3,ITALY
2687,V.F. CORPORATION,1551 WEWATTA ST,UNITED STATES
2688,VITOL INVESTMENT PARTNERSHIP II LIMITED,11-15 Seaton Place St Helier,UNITED KINGDOM
2689,EMBASSY FREIGHT SERVICES SPA,VIA GERMANO GASPARINI 8,ITALY
2690,TRADEWEB LLC,1177 AVENUE OF THE AMERICAS,UNITED STATES
2691,KELKOO.COM (UK) LIMITED,"6th Floor Portland House, Bressenden Place",UNITED KINGDOM
2692,BCUBE CONNECT SRL,VIA DI FRANCIA 76/R,ITALY
2693,"3E COMPANY ENVIRONMENTAL, ECOLOGICAL AND ENGINEERING",3207 GREY HAWK CT,UNITED STATES
2694,THOMSON REUTERS (PROFESSIONAL) UK LIMITED,5 Canada Square,UNITED KINGDOM
2695,REGAL BELOIT ITALY SPA,VIA MODENA 18,ITALY
2696,ECO.LOGIC BRANDS INC.,550 CARNEGIE ST,UNITED STATES
2697,THOMSON REUTERS GROUP LIMITED,Five Canada Square Canary Wharf,UNITED KINGDOM
2698,LA VILLA SPA,VIA BENEDETTO DA FOIANO 14,ITALY
2699,"REAKTOR, INC.",30 WEST 21ST ST 14TH FL,UNITED STATES
2700,ASOS.COM LIMITED,Greater London House Hampstead Road,UNITED KINGDOM
2701,ARSENALE EXPRESS SPA,VIA GIOVANNI AMENDOLA 46,ITALY
2702,"ARXADA, LLC",412 MOUNT KEMBLE AVE STE 200S,UNITED STATES
2703,ASOS PLC,Greater London House Hampstead Road,UNITED KINGDOM
2704,TELEMA SPA,VIA LUIGI BERNARDO SALVONI 60,ITALY
2705,INTEL CORPORATION,2200 MISSION COLLEGE BLVD,UNITED STATES
2706,DEN HARTOGH DRY BULK LOGISTICS LIMITED,4 Beacon Way,UNITED KINGDOM
2707,TELEMA HOLDING SRL,VIA LUIGI BERNARDO SALVONI 60,ITALY
2708,EL PASO HOLDCO LLC,1001 LOUISIANA ST,UNITED STATES
2709,ARRK PRODUCT DEVELOPMENT GROUP LIMITED,Olympus Park Gloucester Technical Centre Quedgeley,UNITED KINGDOM
2710,GIORGIO ARMANI SPA,VIA AMBROGIO BERGOGNONE 38,ITALY
2711,CBI HOLDCO TWO INC.,ONE CB&I PLZ 2103 RESEARCH FOREST DR,UNITED STATES
2712,M&G INVESTMENT MANAGEMENT LIMITED,Governors House 5 Laurence Pountney Hill,UNITED KINGDOM
2713,GIORGIO ARMANI RETAIL SRL,VIA AMBROGIO BERGOGNONE 38,ITALY
2714,"MATTRESS HOLDCO, INC.",10201 S MAIN ST,UNITED STATES
2715,KLDISCOVERY LIMITED,25 Farringdon Street,UNITED KINGDOM
2716,AXWAY SRL,PIAZZALE BIANCAMANO 8,ITALY
2717,"VIRGIN PULSE, INC.",75 FOUNTAIN ST,UNITED STATES
2718,QUILTER LIFE & PENSIONS LIMITED,Quilter House Portland Terrace,UNITED KINGDOM
2719,CARL INTERNATIONAL S.A.,VIA LIVORNO 60,ITALY
2720,"TIAA, FSB",501 RIVERSIDE AVE 1ST FL,UNITED STATES
2721,QUILTER INVESTORS LIMITED,70 Victoria Street,UNITED KINGDOM
2722,CARL ZEISS VISION ITALIA SPA,VIA SANTINO E POMPEO MAZZUCCHELLI 17,ITALY
2723,"CHICO''S BRANDS INVESTMENTS, INC.",11215 METRO PKWY,UNITED STATES
2724,QUILTER BUSINESS SERVICES LIMITED,Senator House 85 Queen Victoria Street,UNITED KINGDOM
2725,CARL ZEISS SPA,VIA VARESINA 162,ITALY
2726,"NEIMAN MARCUS GROUP LLC, THE",1618 MAIN ST,UNITED STATES
2727,QUILTER CHEVIOT LIMITED,One Kingsway,UNITED KINGDOM
2728,IMA ITALIA ASSISTANCE SPA,PIAZZA INDRO MONTANELLI 20,ITALY
2729,"ARGO GROUP US, INC.",711 BROADWAY ST STE 400,UNITED STATES
2730,NATIONAL VIDEO CORPORATION LIMITED(THE),3Rd Floor 35-38 Portman Square,UNITED KINGDOM
2731,COSTER TECNOLOGIE SPECIALI SPA,VIA LEONARDO DA VINCI 2,ITALY
2732,JOHN WOOD GROUP US HOLDINGS INC,17325 PARK ROW STE 500,UNITED STATES
2733,DELIFRANCE (UK) LIMITED,17 Chartwell Drive,UNITED KINGDOM
2734,CAPGEMINI ITALIA SPA,VIA DI TORRE SPACCATA 140,ITALY
2735,ALTUS GROUP U.S. INC.,4700 W SAM HOUSTON PARKWAY N STE 170,UNITED STATES
2736,HOUSTON CASUALTY COMPANY,40 Lime Street,UNITED KINGDOM
2737,SUMOTO SRL,VIA PERIPOLI 1-3,ITALY
2738,"WOOD GROUP USA, INC.",17325 PARK ROW,UNITED STATES
2739,QUAD BIDCO LIMITED,THE INSPIRE HORNBEAM SQUARE WEST,UNITED KINGDOM
2740,NTT CLOUD COMMUNICATIONS ITALY SRL,VIA LUCIANO MANARA 15,ITALY
2741,"SPRINGER NATURE AMERICA, INC.",1 NEW YORK PLAZA STE 4600,UNITED STATES
2742,CHB GROUP LIMITED,1 Grosvenor Place,UNITED KINGDOM
2743,PUBLICIS SRL,VIA BERNINA 34,ITALY
2744,"SPRINGER NATURE ACADEMIC PUBLISHING, INC.",ONE NEW YORK PLAZA STE 4600,UNITED STATES
2745,CONSTRUCTION & ENGINEERING TESTING GROUP LIMITED,Ashwells Rd Bentley,UNITED KINGDOM
2746,DAMIANO SPA,CONTRADA ZAPPULLA SNC,ITALY
2747,"FM INDUSTRIES, INC.",221 WARREN AVE,UNITED STATES
2748,CET STRUCTURES LTD.,"3 Boundary Court Warke Flatt, Castle Donington",UNITED KINGDOM
2749,VIDELIO HMS,VIA DELLE INDUSTRIE 18,ITALY
2750,"CDW DIRECT, LLC",200 N MILWAULKEE AVE,UNITED STATES
2751,AXA INSURANCE UK PLC,20 Gracechurch Street,UNITED KINGDOM
2752,VIDELIO-HMS KINETICS SRL,VIA CHICO MENDES 4,ITALY
2753,CDW LOGISTICS LLC,200 N MILWAULKEE AVE,UNITED STATES
2754,AVIVA INSURANCE SERVICES UK LIMITED,St. Helens 1 Undershaft,UNITED KINGDOM
2755,VIDELIO HMS OPERATIONS SRL,VIA CHICO MENDES 4,ITALY
2756,CDW CORPORATION,75 TRI-STATE INTERNATIONAL,UNITED STATES
2757,ROYAL INSURANCE (U.K.) LIMITED,Honeycomb Edmund Street,UNITED KINGDOM
2758,VIDELIO HMS ITALY SRL,VIA MARIA GRAZIA DELEDDA 3,ITALY
2759,"EXETER PROPERTY GROUP, LLC",5 RADNOR CORPORATE CTR 100 MATSONFORD RD STE 250,UNITED STATES
2760,ASPEN INSURANCE UK LIMITED,Plantation Place 30 Fenchurch Street,UNITED KINGDOM
2761,GREAT LENGTHS SPA SOCIETA' BENEFIT,VIA PIEMONTE 39,ITALY
2762,"POWER INNOVATIONS INTERNATIONAL, INC.",1305 S 630 E,UNITED STATES
2763,ASPEN INSURANCE UK SERVICES LIMITED,Plantation Place 30 Fenchurch Street,UNITED KINGDOM
2764,GESTORE DEI SERVIZI ENERGETICI - GSE SPA,VIALE MARESCIALLO PILSUDSKI 92,ITALY
2765,"SEGMENT.IO, INC.",101 SPEAR ST FL 1,UNITED STATES
2766,WEST BURTON PROPERTY LIMITED,90 Whitfield Street,UNITED KINGDOM
2767,TRENITALIA SPA,PIAZZA DELLA CROCE ROSSA 1,ITALY
2768,AMC NETWORKS INC.,11 PENN PLZ,UNITED STATES
2769,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street,UNITED KINGDOM
2770,SOCIETA' SPORTIVA PROFESSIONISTICA REYER VENEZIA MESTRE SRL IN SIGLA S.S.P. REYER VENEZIA MESTRE SR,VIA COLOMBARA 113,ITALY
2771,"FORMOSA PLASTICS CORPORATION, TEXAS",201 FORMOSA DR,UNITED STATES
2772,RACINE RESTAURANTS LIMITED,7 Queen Square,UNITED KINGDOM
2773,BOLTON GROUP SRL,VIA GIOVANNI BATTISTA PIRELLI 0019,ITALY
2774,ADVANCE BUSINESS CAPITAL LLC,651 CANYON DR STE 105,UNITED STATES
2775,CHESTERFIELD INSURANCE BROKERS LIMITED,F Floor 1 Minster Court,UNITED KINGDOM
2776,FACTOR HOLDING SRL,VIA GIOVANNI BATTISTA PIRELLI 19,ITALY
2777,CARLTON-BATES COMPANY,3600 W 69TH ST,UNITED STATES
2778,COSTAR UK LIMITED,"26th Floor The Shard, 32 London Bridge Street",UNITED KINGDOM
2779,BOLTON INTERNATIONAL SRL,VIA GIOVANNI BATTISTA PIRELLI 19,ITALY
2780,"RUTLEDGE - REGENCY OPERATIONS, LLC",2120 W WASHINGTON ST,UNITED STATES
2781,OVARRO LD LTD,"Primayer House Parklands Business Park Forest Road, Denmead",UNITED KINGDOM
2782,COLAS RAIL ITALIA SPA,VIA LAMPEDUSA 13/F,ITALY
2783,OXFORD HEALTHCARE,310 GRAHAM ST SW,UNITED STATES
2784,OVARRO LTD,Rotherside Road Eckington,UNITED KINGDOM
2785,INPA IMPRESA NAZIONALE PER LE PUBBLICHE AMMINISTRAZIONI SRL,VIALE CESARE PAVESE 60,ITALY
2786,"WORKDAY, INC.",6110 STONERIDGE MALL RD,UNITED STATES
2787,COINSTAR LIMITED,16-17 Old Bond Street,UNITED KINGDOM
2788,WATERFALL ITALIA SPA,VIALE GIOSUE\' CARDUCCI 48,ITALY
2789,MOZILLA CORPORATION,2 HARRISON ST STE 175,UNITED STATES
2790,FIVES SOLIOS LIMITED,4a Churchward Southmead Park,UNITED KINGDOM
2791,HMS IT SPA,VIA SALVATORE QUASIMODO 136,ITALY
2792,SONY MUSIC HOLDINGS INC.,25 MADISON AVE FL 26,UNITED STATES
2793,STEIN INSURANCE COMPANY LIMITED,PO Box 230 Heritage Hall Le Marchant Street ST PETER PORT,UNITED KINGDOM
2794,YAMA SPA,VIA MEUCCIO RUINI 74/L,ITALY
2795,SONY MUSIC ENTERTAINMENT,25 MADISON AVE,UNITED STATES
2796,CREDIT SUISSE AG,North Colonnade Canary Wharf,UNITED KINGDOM
2797,KERING ITALIA SPA,VIA PISANA 336,ITALY
2798,SONY MUSIC PUBLISHING (US) LLC,25 MADISON AVENUE FL 24,UNITED STATES
2799,CREDIT SUISSE SECURITIES (EUROPE) LIMITED,One Cabot Square,UNITED KINGDOM
2800,GENERATOR HOSTEL ROME SRL,VIA PRINCIPE AMEDEO 251,ITALY
2801,ZYNGA INC.,1200 PARK PL,UNITED STATES
2802,CREDIT SUISSE (UK) LIMITED,One Cabot Square,UNITED KINGDOM
2803,VALPIZZA SRL,VIA SBIFFIA 97,ITALY
2804,PARIS PRESENTS INCORPORATED,1950 INNOVATION WAY STE 100,UNITED STATES
2805,ADVANCED PERSONNEL MANAGEMENT HOLDINGS (UK) LIMITED,5th Floor 18 Mansell Street,UNITED KINGDOM
2806,TRENCH ITALIA SRL,STRADA CURAGNATA 37,ITALY
2807,WEBMD HEALTH CORP.,395 HUDSON ST FL 3,UNITED STATES
2808,EDUCATION PERSONNEL MANAGEMENT LIMITED,"St Johns House 6 Spitfire Close, Ermine Business Park",UNITED KINGDOM
2809,DIGITAL BOÃÆÃÂ½TE SRL,VIA BENIAMINO FRANKLIN 18,ITALY
2810,CYPRESS SEMICONDUCTOR CORPORATION,198 CHAMPION CT,UNITED STATES
2811,RICO DESIGN LIMITED,16 Great Queen Street Covent Garden,UNITED KINGDOM
2812,MERLONI HOLDING SPA,VIALE ARISTIDE MERLONI 45,ITALY
2813,"OKTA, INC.",100 1ST ST STE 600,UNITED STATES
2814,EGGER (UK) LIMITED,Anick Grange Road,UNITED KINGDOM
2815,CAMERON ITALY SRL,VIA ITALO BETTO 11,ITALY
2816,ENVISTA HOLDINGS CORPORATION,200 S KRAEMER BLVD BLDG E,UNITED STATES
2817,EVERRIS LIMITED,17 Lanchester Way Royal Oak Industrial Estate Royal Oak Industrial Estate,UNITED KINGDOM
2818,ROHM AND HAAS ITALIA SRL,VIA TRIESTE 25,ITALY
2819,DFS CORPORATE SERVICES LLC,2500 LAKE COOK RD 2,UNITED STATES
2820,ICL UK (SALES) LIMITED,Boulby Mine Loftus,UNITED KINGDOM
2821,L'OREAL ITALIA SPA,VIA FRANCESCO PRIMATICCIO 155,ITALY
2822,MARQUEE BRANDS LLC,330 W 34TH ST FL 15,UNITED STATES
2823,RANDOM42 LIMITED,114-116 Marylebone Lane,UNITED KINGDOM
2824,TRADEDOUBLER SRL,VIA GENERALE GUSTAVO FARA 9,ITALY
2825,YAMAHA MOTOR MANUFACTURING CORPORATION OF AMERICA,1000 HWY 34 E,UNITED STATES
2826,DIAVERUM HOLDING UK LIMITED,Blenheim Gate 22-24 Upper Marlborough Road,UNITED KINGDOM
2827,H L P HOTEL LA PALMA SPA,VIA VITTORIO EMANUELE 39,ITALY
2828,"MARSHALL ISLANDS MARITIME & CORPORATE ADMINISTRATORS, INC",11495 COMMERCE PARK DR,UNITED STATES
2829,DIAVERUM UK LIMITED,Blenheim Gate 22-24 Upper Marlborough Road,UNITED KINGDOM
2830,SAVIO VANDEWIELE SRL,VIA CLEMENTE VERCELLONE 11,ITALY
2831,M3BI LLC,7336 E DEER VALLEY RD STE 100,UNITED STATES
2832,CONSTRUCTION TESTING SOLUTIONS GROUP HOLDINGS LIMITED,"4 Oak Spinney Business Park Ratby Lane, Leicester Forest East",UNITED KINGDOM
2833,CASA VINICOLA BOTTER CARLO & C. SPA,VIA LUIGI CADORNA 17,ITALY
2834,NYPRO ALABAMA LLC,6325 MUIRFIELD DR,UNITED STATES
2835,MAYFLEX UK LIMITED,EXCEL HOUSE JUNCTION SIX INDUSTRIAL ESTATE ELECTRIC AVENUE,UNITED KINGDOM
2836,TAGETIK SOFTWARE SRL,VIA FRANKLYN DELANO ROOSEVELT 103,ITALY
2837,BAYER HEALTHCARE LLC,100 BAYER BLVD,UNITED STATES
2838,MAYFLEX HOLDINGS LIMITED,Excel Ho Junction Six Indstl Pk Electric Ave,UNITED KINGDOM
2839,BLOXER RONCHI SRL,VIA XI SETTEMBRE 38,ITALY
2840,"TRANE COMPANY, THE",3600 PAMMEL CREEK RD,UNITED STATES
2841,J.P. MORGAN ENERGY TRADING HOLDINGS LTD,20 Moorgate,UNITED KINGDOM
2842,MODULAR PROFESSIONAL SRL,VIA PALU' 93,ITALY
2843,TRANE U.S. INC.,800-E BEATY ST,UNITED STATES
2844,SHELL ENERGY EUROPE LIMITED,Shell Mex House 80 Strand,UNITED KINGDOM
2845,TECHNIMA ITALIA SRL,VIA CLEMENTE LEQUIO 76,ITALY
2846,WAYMO LLC,1600 AMPHITHEATRE PKWY,UNITED STATES
2847,DAS UK HOLDINGS LIMITED,"Das House, Quay Side Temple Back",UNITED KINGDOM
2848,INTERPARFUMS ITALIA SRL,PIAZZA DELLA REPUBBLICA 6,ITALY
2849,"SAXON CAPITAL HOLDINGS, INC.",4860 COX ROAD SUITE 300,UNITED STATES
2850,PRODRIVE MOTORSPORT LIMITED,Unit 4 Chalker Way,UNITED KINGDOM
2851,SYSTEM LOGISTICS SPA,VIA GHIAROLA VECCHIA 50,ITALY
2852,"PHYSICAL ELECTRONICS USA, INC.",18725 LAKE DR E,UNITED STATES
2853,ACHILLES INFORMATION LIMITED,30 Western Avenue Milton Park Milton,UNITED KINGDOM
2854,JULIET HOLDING SPA,VIA DELL'UNIONE EUROPEA 6 A-6 B,ITALY
2855,"COMMUNITY BRANDS HOLDCO, LLC",9620 EXECUTIVE CENTER DR N STE 200,UNITED STATES
2856,ARRIVAL UK LTD,Beaumont House Avonmore Road,UNITED KINGDOM
2857,ARNOLDO MONDADORI EDITORE SPA,VIA ARNOLDO MONDADORI 1,ITALY
2858,MORGAN STANLEY DERIVATIVE PRODUCTS INC.,1585 BROADWAY 3RD FL,UNITED STATES
2859,CHARGE CARS LTD,360 Stockley Close,UNITED KINGDOM
2860,MONDADORI MEDIA SPA,VIA BIANCA DI SAVOIA 12,ITALY
2861,HP INC.,1501 PAGE MILL RD,UNITED STATES
2862,ADDLESHAWS LIMITED,1 St. Peters Square,UNITED KINGDOM
2863,MONDADORI LIBRI SPA,VIA ARNOLDO MONDADORI 1,ITALY
2864,CHRISTIAN DIOR PERFUMES LLC,510 MADISON AVE FL 2,UNITED STATES
2865,ADDLESHAW GODDARD LLP,Milton Gate 60 Chiswell Street,UNITED KINGDOM
2866,DISCOVERY ITALIA SRL,VIA UBERTO VISCONTI DI MODRONE 11,ITALY
2867,"MORGAN STANLEY REAL ESTATE INVESTMENT MANAGEMENT II, INC.",1585 BROADWAY,UNITED STATES
2868,TELEFONICA O2 HOLDINGS LIMITED,260 Bath Road,UNITED KINGDOM
2869,WERTHER INTERNATIONAL SPA,VIA FILIPPO BRUNELLESCHI 12,ITALY
2870,ABN AMRO HOLDINGS USA LLC,100 PARK AVE FL 17,UNITED STATES
2871,O2 (UK) LIMITED,Highdown House Yeoman Way,UNITED KINGDOM
2872,LOUVRE HOTELS ITALIA SRL,CORSO CANONICO GIUSEPPE ALLAMANO 153,ITALY
2873,"MCALLISTER TOWING OF FLORIDA, INC.",4358 APOLLO AVE,UNITED STATES
2874,TELEFONICA O2 UK LIMITED,Highdown House Yeoman Way,UNITED KINGDOM
2875,RENCO SPA,STRADA DI MONTEFELTRO 51,ITALY
2876,TMC BONDS L.L.C.,850 3RD AVE FL 9,UNITED STATES
2877,THE PROGENY GROUP LIMITED,1a Tower Square Wellington Street,UNITED KINGDOM
2878,STF BALCKE-DUERR SRL,VIA MONTE GRAPPA 44,ITALY
2879,J.P. MORGAN INVESTMENT MANAGEMENT INC.,277 PARK AVE,UNITED STATES
2880,ASCENDANT TECHNOLOGY LIMITED,"Ascendant Technology Limited, Unit 2 Redwood, Crockford Lane",UNITED KINGDOM
2881,FALCK SPA,CORSO VENEZIA 16,ITALY
2882,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,1585 BROADWAY,UNITED STATES
2883,WARWICK STREET (KSI) LLP,6TH FLOOR 25 FARRINGDON STREET,UNITED KINGDOM
2884,FALCK ENERGY SPA,CORSO VENEZIA 16,ITALY
2885,"EAST WEST MANUFACTURING, LLC",4170 ASHFORD DUNWOODY RD STE 560,UNITED STATES
2886,VENREX NOMINEES LIMITED,First Floor Office St James House,UNITED KINGDOM
2887,LES HOMMES SRL,VIA SAVONA 97,ITALY
2888,"PRODRIVE TECHNOLOGIES, INC.",15 UNIVERSITY RD,UNITED STATES
2889,VENREX IX GENERAL PARTNER LIMITED,First Floor Office St James House,UNITED KINGDOM
2890,UNIVERSITA' DEGLI STUDI DI VERONA,VIA DELL'ARTIGLIERE 8,ITALY
2891,WNS NORTH AMERICA INC.,15 EXCHANGE PL STE 310,UNITED STATES
2892,VENREX ABC I NOMINEES LIMITED,First Floor Office St James House,UNITED KINGDOM
2893,NICE SPA,VIA CALLALTA 1,ITALY
2894,"CINEMARK USA, INC.",3900 DALLAS PKWY,UNITED STATES
2895,VENREX ABC I GENERAL PARTNER LIMITED,First Floor Office St James House,UNITED KINGDOM
2896,CAMOZZI DIGITAL SRL,VIA CASSALA 48-50,ITALY
2897,AMAZON.COM SERVICES LLC,410 TERRY AVE N,UNITED STATES
2898,ABB LIMITED,Daresbury Park Daresbury,UNITED KINGDOM
2899,TELEPASS SPA,VIA LAURENTINA 449,ITALY
2900,AMAZON.COM.INDC LLC,440 TERRY AVE N,UNITED STATES
2901,NETSCOUT SYSTEMS (UK) LIMITED,1 ARLINGTON SQUARE DOWNSHIRE WAY,UNITED KINGDOM
2902,ERICSSON IT SOLUTIONS & SERVICES SPA,VIA ANAGNINA 203,ITALY
2903,AMAZON STUDIOS LLC,410 TERRY AVENUE N,UNITED STATES
2904,NETSCOUT SYSTEMS UK HOLDINGS LIMITED,100 NEW BRIDGE STREET,UNITED KINGDOM
2905,BANCA SELLA HOLDING SPA,PIAZZA GAUDENZIO SELLA 1,ITALY
2906,"MICROSOFT ONLINE, INC.",6100 NEIL RD STE 100,UNITED STATES
2907,ASCENTIAL EVENTS (EUROPE) LIMITED,2 Kingdom Street,UNITED KINGDOM
2908,BANCA SELLA SPA,PIAZZA GAUDENZIO SELLA 1,ITALY
2909,DPS HOLDINGS INC.,6425 HALL OF FAME LN,UNITED STATES
2910,CHELL INSTRUMENTS LIMITED,Folgate House Folgate Road,UNITED KINGDOM
2911,FABRICK SPA,PIAZZA GAUDENZIO SELLA 1,ITALY
2912,"SANHUA INTERNATIONAL, INC.",252 FALLBROOK DR BLDG 2 STE 400,UNITED STATES
2913,SIRIUSPOINT INTERNATIONAL INSURANCE CORPORATION (PUBL),20 Fenchurch Street,UNITED KINGDOM
2914,HYPE SPA,PIAZZA GAUDENZIO SELLA 1,ITALY
2915,"BERTELSON BROTHERS, INC.",44 NORTHERN STACKS DR STE 100,UNITED STATES
2916,THE MERCHANTS GROUP LIMITED,N T T House 2 Waterfront Business Park Fleet Road,UNITED KINGDOM
2917,IKEA PURCHASING SERVICES ITALY SRL,CENTRO DIREZIONALE MILANOFIORI SNC,ITALY
2918,VAYNERMEDIA LLC,10 HUDSON YARDS FL 25,UNITED STATES
2919,INDEPENDENT TALENT GROUP LIMITED,40 Whitfield Street,UNITED KINGDOM
2920,IKEA ITALIA RETAIL SRL,STRADA PROVINCIALE 208 3,ITALY
2921,"SHORE CAPITAL PARTNERS, LLC",1 E WACKER DR STE 2900,UNITED STATES
2922,INDEPENDENT BUILDERS MERCHANT GROUP LIMITED,Unit J1 Franklin House Chaucer Business Park,UNITED KINGDOM
2923,21 INVEST SPA,VIALE GIAN GIACOMO FELISSENT 90,ITALY
2924,SONY PICTURES ENTERTAINMENT INC.,10202 W WASHINGTON BLVD,UNITED STATES
2925,GRAVITY GLOBAL PERFORMANCE MARKETING LTD,The Old Church St. Matthews Road,UNITED KINGDOM
2926,VERALLIA ITALIA SPA,STRADA STATALE 29,ITALY
2927,SONY PICTURES HOME ENTERTAINMENT ONLINE INC.,10202 W WASHINGTON BLVD,UNITED STATES
2928,ERNEST JACKSON & CO. LIMITED,29 High Street,UNITED KINGDOM
2929,VODAFONE ENTERPRISE ITALY SRL,VIA LORENTEGGIO 240,ITALY
2930,"TFS ENERGY SOLUTIONS, LLC",9 W BROAD ST FL 9,UNITED STATES
2931,BONHAMS 1793 LIMITED,"MONTPELIER GALLERIES, MONTPELIER STREET, KNIGHTSBRIDGE",UNITED KINGDOM
2932,SHELL ITALIA E&P SPA,PIAZZA DI SAN SILVESTRO 8,ITALY
2933,"DSM BIOMEDICAL, INC.",735 PENNSYLVANIA DR,UNITED STATES
