,company_industry,company_founded,company_revenue,company_name,company_location
672,Retailing,1982.0,$18.9B,Ross Stores,"Dublin, California"
673,Utilities,1981.0,$8.3B,WEC Energy Group,"Milwaukee, Wisconsin"
674,Retail and Wholesale,1971.0,$171.3B,Cardinal Health,"Dublin, Delaware"
675,Retailing,1993.0,$31.9B,CarMax,"Richmond, Virginia"
676,Banking,2001.0,$12.8B,China Development Financial,"Taipei, Taiwan"
677,Banking,1983.0,$3.2B,Riyad Bank,"Riyadh, Saudi Arabia"
678,Media & Advertising,2008.0,$6.3B,Thomson Reuters,"Eagan, Minnesota"
679,Oil & Gas Operations,1993.0,$14.1B,Transneft,"Moscow, Russia"
680,Trading Companies,1887.0,$22.7B,Ferguson,"Wokingham, United Kingdom"
681,Drugs & Biotechnology,1982.0,$13.9B,IQVIA,"Durham, North Carolina"
682,Diversified Financials,2000.0,$2.7B,Hong Kong Exchanges,"Hong Kong, Hong Kong"
683,"Construction, Oil & Gas Operations, Mining and Chemicals",1883.0,$17.2B,PPG,"Pittsburgh, Pennsylvania"
684,Technology Hardware & Equipment,1984.0,$76B,Legend Holding,"Beijing, China"
685,Business Services & Supplies,1923.0,$12.7B,Ecolab,"Saint Paul, Minnesota"
686,Drugs & Biotechnology,2003.0,$80.8B,Sinopharm Group,"Shanghai, China"
687,Technology Hardware & Equipment,2004.0,$23.9B,Luxshare Precision Industry,"Dongguan, China"
688,Construction,1996.0,$26.4B,Seazen Group,"Shanghai, China"
689,Business Services & Supplies,2000.0,$8.5B,Global Payments,"Atlanta, Georgia"
690,Construction,2014.0,$49.8B,China Energy Engineering,"Beijing, China"
691,Aerospace & Defense,1984.0,$17.9B,Safran,"Paris, France"
692,Business Services & Supplies,1888.0,$8.3B,S&P Global,"New York, New York"
693,Banking,1866.0,$6.4B,Huntington Bank,"Columbus, Ohio"
694,Insurance,1995.0,$8.9B,Arch Capital Group,"Pembroke, Bermuda"
695,Diversified Financials,,$8.8B,Jackson Financial,"Lansing, Michigan"
696,Banking,1902.0,$5.8B,Bank Leumi,"Tel Aviv, Israel"
697,Conglomerates,1885.0,$14.1B,Trane Technologies,"Dublin, Ireland"
698,Utilities,1853.0,$33.7B,Veolia Environnement,"Paris, France"
699,Retailing,1957.0,$13.3B,O'Reilly Automotive,"Springfield, Missouri"
700,Drugs & Biotechnology,1978.0,$10.4B,Biogen,"Cambridge, Massachusetts"
701,Media,1926.0,$13.9B,Publicis Groupe,"Paris, France"
702,Trading Companies,1952.0,$46.1B,Hanwha,"Seoul, South Korea"
703,"Construction, Oil & Gas Operations, Mining and Chemicals",2004.0,$12.4B,The Mosaic Company,"Tampa, Florida"
704,Telecommunications Services,1995.0,$15B,Bharti Airtel,"New Delhi, India"
705,Transportation,2004.0,$11.8B,Daqin Railway,"Datong, China"
706,IT Software & Services,2009.0,$17.5B,Uber,"San Francisco, California"
707,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1987.0,$12.8B,STMicroelectronics,"Geneva, Switzerland"
708,Construction,1988.0,$14.3B,Gemdale,"Shenzhen, China"
709,Insurance,1824.0,$14.4B,Ageas,"Brussels, Belgium"
710,Technology Hardware & Equipment,1988.0,$40.4B,Quanta Computer,"Taoyuan, Taiwan"
711,Food Markets,1882.0,$43.4B,George Weston,"Toronto, Canada"
712,Diversified Financials,1900.0,$10.2B,Weyerhaeuser,"Federal Way, Washington"
713,Utilities,1915.0,$52.9B,Korea Electric Power,"Naju, South Korea"
714,Media,2015.0,$13.6B,Fox,"New York, New York"
715,Capital Goods,1934.0,$34.1B,Mitsubishi Heavy Industries,"Tokyo, Japan"
716,"Engineering, Manufacturing",1993.0,$20.4B,Steel Dynamics,"Fort Wayne, Indiana"
717,Technology Hardware & Equipment,1972.0,$6.4B,Keyence,"Osaka, Japan"
718,Semiconductors,2000.0,$11.8B,Longi Green Energy Technology,"Xi'an, China"
719,Household & Personal Products,1823.0,$18.2B,Reckitt Benckiser Group,"Slough, United Kingdom"
720,Materials,1973.0,$14B,Coal India,"Kolkata, India"
721,Consumer Durables,1949.0,$35.4B,Aisin Seiki,"Kariya, Japan"
722,Diversified Financials,2004.0,$4.8B,Digital Realty Trust,"Austin, Texas"
723,Consumer Durables,1945.0,$39B,Tata Motors,"Mumbai, India"
724,Banking,2001.0,$7.5B,Resona Holdings,"Tokyo, Japan"
725,Diversified Financials,1993.0,$5.1B,Simon Property Group,"Indianapolis, Indiana"
726,Banking,1961.0,$9.4B,Industrial Bank of Korea,"Seoul, South Korea"
727,Utilities,1901.0,$10.8B,CLP Holdings,"Hong Kong, Hong Kong"
728,Banking,1952.0,$3.8B,National Bank of Kuwait,"Kuwait City, Kuwait"
729,Telecommunications Services,1879.0,$11.8B,SingTel,"Singapore, Singapore"
730,IT Software & Services,2012.0,$7.8B,Coinbase,"San Francisco, California"
731,Utilities,1882.0,$8.4B,CenterPoint Energy,"Houston, Texas"
732,Materials,1997.0,$7.1B,Saudi Arabian Mining,"Riyadh, Saudi Arabia"
733,Diversified Financials,1999.0,$10.3B,China Cinda Asset Management,"Beijing, China"
734,Chemicals,1931.0,$21.8B,Asahi Kasei,"Tokyo, Japan"
735,Technology Hardware & Equipment,1899.0,$27.7B,NEC,"Tokyo, Japan"
736,Transportation,1968.0,$29B,United Airlines Holdings,"Chicago, Illinois"
737,"Hotels, Restaurants & Leisure",1986.0,$9.7B,MGM Resorts,"Las Vegas, Nevada"
738,Materials,1902.0,$10.9B,DSM,"Heerlen, Netherlands"
739,Telecommunications Services,1965.0,$10B,Telkom Indonesia,"Jakarta, Indonesia"
740,Oil & Gas Operations,1999.0,$34.1B,PKN Orlen,"P?ock, Poland"
741,Diversified Financials,1999.0,$6.7B,Guotai Junan Securities,"Wanchai, China"
742,Materials,1905.0,$16.9B,Norsk Hydro,"Oslo, Norway"
743,Chemicals,1954.0,$9.8B,Formosa Plastics,"Kaohsiung City, Taiwan"
744,Utilities,1989.0,$26.9B,NRG Energy,"Houston, Texas"
745,Banking,1966.0,$4.5B,Public Bank,"Kuala Lumpur, Malaysia"
746,Technology Hardware & Equipment,1981.0,$25.3B,TCL,"Huizhou, China"
747,Diversified Financials,1990.0,$6B,Huatai Securities,"Nanjing, China"
748,"Food, Soft Beverages, Alcohol & Tobacco",1906.0,$14.2B,Kellogg,"Battle Creek, Michigan"
749,"Food, Drink & Tobacco",,$16.5B,Inner Mongolia Yili,"Hohhot, China"
750,Media,1971.0,$17.6B,WPP,"London, United Kingdom"
751,Media,1986.0,$14.3B,Omnicom Group,"New York, New York"
752,Construction,1960.0,$23.4B,Sekisui House,"Osaka, Japan"
753,Oil & Gas Operations,1983.0,$17.6B,Cheniere Energy,"Houston, Texas"
754,Capital Goods,1862.0,$11.6B,Sandvik,"Stockholm, Sweden"
755,Chemicals,1913.0,$16.6B,Siam Cement,"Bangkok, Thailand"
756,Transportation,1987.0,$17.7B,East Japan Railway,"Tokyo, Japan"
757,Banking,1985.0,$4.2B,Abu Dhabi Commercial Bank,"Abu Dhabi, United Arab Emirates"
758,Banking,1997.0,$10.3B,Huishang Bank,"Hefei, China"
759,Consumer Durables,1984.0,$20.5B,Great Wall Motor,"Baoding, China"
760,Diversified Financials,1988.0,$7.8B,Haitong Securities,"Shanghai, China"
761,Consumer Durables,1969.0,$17.5B,Dongfeng Motor Group,"Wuhan, China"
762,Insurance,1996.0,$25.4B,China Reinsurance Group,"Beijing, China"
763,Construction,1976.0,$3.1B,Henderson Land,"Hong Kong, Hong Kong"
764,Technology Hardware & Equipment,1970.0,$11.8B,Samsung SDI,"Yongin, South Korea"
765,Utilities,1987.0,$7.5B,Fortis (Canada),"St. John's, Canada"
766,Telecommunications Services,1984.0,$14.6B,SK Telecom,"Seoul, South Korea"
767,Diversified Financials,1977.0,$8.7B,HAL Trust,"Willemstad, Netherlands"
768,Diversified Financials,1979.0,$2.7B,Banco Btg Pactual,"Rio de Janeiro, Brazil"
769,"Construction, Oil & Gas Operations, Mining and Chemicals",1987.0,$20.6B,Baker Hughes Company,"Houston, Texas"
770,Insurance,2016.0,$8.1B,Gallagher,"Rolling Meadows, Illinois"
771,Insurance,1999.0,$11.9B,Everest Re Group,"Hamilton, Bermuda"
772,Technology Hardware & Equipment,1932.0,$10.9B,Amphenol,"Wallingford, Connecticut"
773,Transportation and Logistics,1930.0,$34.8B,American Airlines Group,"Fort Worth, Texas"
774,"IT, Internet, Software & Services",1997.0,$8.2B,KLA,"Milpitas, California"
775,Drugs & Biotechnology,2005.0,$11.8B,Astellas Pharma,"Tokyo, Japan"
776,Drugs & Biotechnology,1950.0,$13.6B,Otsuka Holding,"Tokyo, Japan"
777,Banking,2005.0,$10.6B,China Bohai Bank,"Tianjin, China"
778,Banking,1993.0,$8.1B,Kasikornbank,"Bangkok, Thailand"
779,Banking,1921.0,$5.6B,Bank Hapoalim,"Tel Aviv, Israel"
780,Oil & Gas Operations,1954.0,$7B,Woodside Petroleum,"Perth, Australia"
781,Transportation,2000.0,$6.1B,MTR,"Hong Kong, Hong Kong"
782,Oil & Gas Operations,1950.0,$17.4B,Tatneft,"Almetyevsk, Russia"
783,Business Services & Supplies,1986.0,$10.1B,Power Finance,"New Delhi, India"
784,Drugs & Biotechnology,1952.0,$7.8B,Zoetis,"Parsippany, New Jersey"
785,Drugs & Biotechnology,1897.0,$5.9B,Lonza Group,"Basel, Switzerland"
786,Construction,1992.0,$22.7B,Eiffage,"VÃ©lizy-Villacoublay, France"
787,Chemicals,1913.0,$24.4B,Sumitomo Chemical,"Tokyo, Japan"
788,Drugs & Biotechnology,1989.0,$7.6B,Vertex Pharmaceuticals,"Boston, Massachusetts"
789,Utilities,,$19.6B,Constellation Energy,"Baltimore, Maryland"
790,Construction,2000.0,$16.8B,CIFI Holdings Group,"Shanghai, China"
791,Banking,2010.0,$9.1B,Raiffeisen Bank International,"Vienna, Austria"
792,Consumer Durables,1911.0,$22B,Whirlpool,"Benton Harbor, Michigan"
793,Capital Goods,1866.0,$32.5B,Siemens Energy,"Munich, Germany"
794,Materials,2015.0,$19.3B,WestRock,"Atlanta, Georgia"
795,Insurance,1952.0,$18.3B,Samsung Fire & Marine,"Seoul, South Korea"
796,Materials,1901.0,$20.4B,US Steel,"Pittsburgh, Pennsylvania"
797,Materials,1978.0,$11.6B,UPM-Kymmene,"Helsinki, Finland"
798,Chemicals,1965.0,$13.1B,Formosa Chemicals,"Changhua, Taiwan"
799,Oil & Gas Operations,1962.0,$40.9B,SK Innovation,"Seoul, South Korea"
800,Telecommunications Services,1966.0,$10.3B,Telia,"Solna, Sweden"
801,Insurance,2004.0,$20.3B,T&D Holdings,"Tokyo, Japan"
802,Insurance,1935.0,$23.5B,Mapfre,"Majadahonda, Spain"
803,IT Software & Services,1976.0,$11.2B,HCL Technologies,"Noida, India"
804,Construction,1949.0,$8.4B,Sumitomo Realty,"Tokyo, Japan"
805,Chemicals,1986.0,$11.8B,Westlake Chemical,"Houston, Texas"
806,Diversified Financials,1990.0,$4.8B,Apollo Global Management,"New York, New York"
807,Business Services & Supplies,1997.0,$9.7B,United Rentals,"Stamford, Connecticut"
808,Oil & Gas Operations,2007.0,$6.8B,Diamondback Energy,"Midland, Texas"
809,"Engineering, Manufacturing",1853.0,$14.3B,Otis Worldwide,"Farmington, Connecticut"
810,Banking,2008.0,$8.7B,Chongqing Rural Bank,"Chongqing, China"
811,Materials,1880.0,$13.9B,Ball,"Westminster, Colorado"
812,Materials,1996.0,$12B,Stora Enso,"Helsinki, Finland"
813,Transportation,,$11.9B,Yang Ming Marine Transport,"Keelung, Taiwan"
814,Insurance,1857.0,$33.5B,Phoenix Group Holdings,"London, United Kingdom"
815,IT Software & Services,1945.0,$10.1B,Wipro,"Bengaluru, India"
816,Utilities,1989.0,$5.6B,Power Grid of India,"Gurgaon, India"
817,Banking and Financial Services,1991.0,$9B,Absa Group,"Johannesburg, South Africa"
818,Materials,1934.0,$16.2B,Novolipetsk Steel,"Moscow, Russia"
819,Capital Goods,1911.0,$30B,Sumitomo Electric,"Osaka, Japan"
820,Insurance,,$24.4B,St. James's Place,"Cirencester, United Kingdom"
821,Construction,1947.0,$12.3B,Grasim Industries,"Mumbai, India"
822,Diversified Financials,1920.0,$751M,Segro,"London, United Kingdom"
823,Diversified Financials,2002.0,$2.6B,Mega Financial Holding,"Taipei, Taiwan"
824,Retailing,2008.0,$27.1B,Zhongsheng Group Holdings,"Dalian, China"
825,Insurance,2002.0,$15.6B,Shin Kong Financial,"Taipei, Taiwan"
826,Utilities,1987.0,$7.4B,CMS Energy,"Jackson, Michigan"
827,Conglomerates,1957.0,$8.5B,Quinenco,"Las Condes, Chile"
828,Chemicals,2007.0,$18.7B,Evonik Industries,"Essen, Germany"
829,IT Software & Services,2004.0,$2.1B,East Money Information,"Shanghai, China"
830,Insurance,1886.0,$13.9B,QBE Insurance Group,"Sydney, Australia"
831,Utilities,1949.0,$12.7B,Tenaga Nasional,"Kuala Lumpur, Malaysia"
832,IT Software & Services,1999.0,$6.1B,Naver,"Seongnam, South Korea"
833,Technology Hardware & Equipment,1935.0,$16.3B,TDK,"Tokyo, Japan"
834,Diversified Financials,1925.0,$12.9B,Nomura,"Tokyo, Japan"
835,Construction,1987.0,$15.6B,Jinke Property Group,"Chongqing, China"
836,Utilities,1951.0,$47.9B,Tokyo Electric Power,"Tokyo, Japan"
837,"IT, Internet, Software & Services",1984.0,$20.8B,CDW,"Vernon Hills, Illinois"
838,"Food, Soft Beverages, Alcohol & Tobacco",1894.0,$9B,The Hershey Company,"Derry Township, Pennsylvania"
839,"Food, Drink & Tobacco",1910.0,$7.9B,ITC,"Kolkata, India"
840,Oil & Gas Operations,1976.0,$18.3B,Pgnig Group,"Warsaw, Poland"
841,Telecommunications Services,1994.0,$12.3B,MTN Group,"Roodepoort, South Africa"
842,"Hotels, Restaurants & Leisure",1994.0,$24.5B,Compass Group,"Chertsey, United Kingdom"
843,Insurance,1967.0,$9.5B,WR Berkley,"Greenwich, Connecticut"
844,Business Services & Supplies,1909.0,$6.2B,Moody's,"New York, New York"
845,Trading Companies,1928.0,$19.7B,Genuine Parts,"Atlanta, Georgia"
846,Transportation,2007.0,$4.7B,Beijing-Shanghai High-Speed Railway,"Beijing, China"
847,Materials,2001.0,$41.8B,Aluminum Corp of China,"Beijing, China"
848,Utilities,1951.0,$26B,Kansai Electric Power,"Osaka, Japan"
849,Diversified Financials,1972.0,$3.4B,Public Storage,"Glendale, California"
850,Business Services & Supplies,1984.0,$10.4B,China International Travel Service,"Beijing, China"
851,Chemicals,1910.0,$10.1B,Sika,"Baar, Switzerland"
852,Banking,2000.0,$2.5B,Signature Bank,"New York, New York"
853,Diversified Financials,1937.0,$7.7B,T Rowe Price,"Baltimore, Maryland"
854,Household & Personal Products,1833.0,$11.7B,International Flavors & Fragrances,"New York, New York"
855,Transportation,1982.0,$6.2B,Atlantia,"Rome, Italy"
856,Conglomerates,1981.0,$6.1B,Roper Technologies,"Sarasota, Florida"
857,Transportation,1993.0,$5.2B,Shanghai International Port,"Shanghai, China"
858,Drugs & Biotechnology,2005.0,$9.4B,Daiichi Sankyo,"Tokyo, Japan"
859,Business Services & Supplies,1997.0,$15.3B,Rakuten,"Tokyo, Japan"
860,Diversified Financials,1947.0,$8.7B,Franklin Resources,"San Mateo, California"
861,Banking,1783.0,$8.4B,Bank of Ireland,"Dublin, Ireland"
862,Transportation,1942.0,$10.8B,Mitsui OSK Lines,"Tokyo, Japan"
863,Banking,1978.0,$2.4B,Saudi British Bank,"Riyadh, Saudi Arabia"
864,Utilities,1902.0,$6.4B,Ameren,"St. Louis, Missouri"
865,"Telecommunications Services, Cable Supplier",1996.0,$7.5B,Chunghwa Telecom,"Teipei City, Taiwan"
866,Capital Goods,1994.0,$11.1B,Assa Abloy,"Stockholm, Sweden"
867,"Telecommunications Services, Cable Supplier",1985.0,$17.6B,ZTE,"Shenzhen, China"
868,Insurance,2000.0,$11.7B,Asr Nederland,"Utrecht, Netherlands"
869,"Food, Drink & Tobacco",1919.0,$11.4B,Conagra Brands,"Chicago, Illinois"
870,Banking,1870.0,$14.8B,Commerzbank,"Frankfurt, Germany"
871,Conglomerates,2007.0,$8.6B,Bajaj Finserv,"Pune, India"
872,Materials,1953.0,$20B,Hyundai Steel,"Inchon, South Korea"
873,Trading Companies,1985.0,$26.1B,LG Display,"Seoul, South Korea"
874,Telecommunications Services,1981.0,$21.7B,KT,"Seongnam, South Korea"
875,Construction,2010.0,$12.2B,Logan Property Holdings,"Shenzhen, China"
876,Utilities,1903.0,$8.7B,Public Service Enterprise Group,"Newark, New Jersey"
877,Materials,2002.0,$14.1B,EN+ Group International,"Kaliningrad, Russia"
878,Banking,1924.0,$12.2B,Isbank,"Istanbul, Turkey"
879,Transportation,1979.0,$16.7B,Expeditors International,"Seattle, Washington"
880,Materials,1961.0,$16B,Ternium,"Luxembourg, Luxembourg"
881,Utilities,1992.0,$10.9B,CEZ Group,"Prague, Czech Republic"
882,Consumer Durables,1916.0,$21.7B,Isuzu Motors,"Yokohama, Japan"
883,Semiconductors,2002.0,$9.1B,Renesas Electronics,"Tokyo, Japan"
884,Banking and Financial Services,1961.0,$16.9B,Unipol Gruppo,"Bologna, Italy"
885,Diversified Financials,1999.0,$5.6B,SBI Holdings,"Tokyo, Japan"
886,Consumer Durables,1985.0,$13.2B,Techtronic Industries,"Hong Kong, Hong Kong"
887,Transportation,1952.0,$8B,Ferrovial,"Madrid, Spain"
888,Banking,1924.0,$5.7B,CIMB Group Holdings,"Kuala Lumpur, Malaysia"
889,Construction,1910.0,$12.4B,Kone,"Helsinki, Finland"
890,Retailing,1993.0,$21.8B,E-mart,"Seoul, South Korea"
891,Diversified Financials,1991.0,$5.8B,GF Securities,"Guangzhou, China"
892,Diversified Financials,1991.0,$5.7B,China Merchants Securities,"Shenzhen, China"
893,Diversified Financials,1996.0,$731M,Annaly Capital Management,"New York, New York"
894,Food Markets,1914.0,$29.4B,Coles Group,"Melbourne, Australia"
895,Transportation,1987.0,$8.3B,Central Japan Railway,"Nagoya, Japan"
896,Diversified Financials,1966.0,$10.5B,Sabanci Holding,"Istanbul, Turkey"
897,Diversified Financials,2002.0,$5.8B,Yuanta Financial Holding,"Taipei, Taiwan"
898,Diversified Financials,2003.0,$24.9B,AntarChile,"Las Condes, Chile"
899,Transportation,,$12B,HMM,"Seoul, South Korea"
900,Technology Hardware & Equipment,1978.0,$12B,Seagate Technology,"Dublin, Ireland"
901,Insurance,1929.0,$12B,Alleghany,"New York, New York"
902,Diversified Financials,1994.0,$3.8B,Guosen Securities,"Shenzhen, China"
903,Business Services & Supplies,1946.0,$9.3B,Avis Budget Group,"Parsippany, New Jersey"
904,Materials,1997.0,$68.5B,Jiangxi Copper,"Nanchang, China"
905,Business Services & Supplies,1971.0,$14B,Mitsubishi UFJ Lease,"Tokyo, Japan"
906,Materials,1950.0,$10.7B,Sumitomo Metal Mining,"Tokyo, Japan"
907,Technology Hardware & Equipment,1989.0,$19.2B,Asustek Computer,"Taipei, Taiwan"
908,"Food, Drink & Tobacco",1935.0,$19B,Associated British Foods,"London, United Kingdom"
909,Utilities,2008.0,$9.6B,China National Nuclear Power,"Beijing, China"
910,Diversified Financials,1995.0,$3.6B,China International Capital,"Beijing, China"
911,Materials,2006.0,$26.8B,China Molybdenum,"Luoyang, China"
912,Diversified Financials,1859.0,$11B,Equitable Holdings,"New York, New York"
913,"Construction, Oil & Gas Operations, Mining and Chemicals",2015.0,$18.8B,Covestro,"Leverkusen, Germany"
914,Diversified Financials,2018.0,$23.4B,M&G,"London, United Kingdom"
915,"IT, Internet, Software & Services",2006.0,$4.6B,Shopify,"Ottawa, Canada"
916,Construction,1994.0,$43.4B,Shanghai Construction,"Shanghai, China"
917,Household & Personal Products,1929.0,$14.6B,Essity,"Stockholm, Sweden"
918,Trading Companies,1927.0,$13B,WW Grainger,"Lake Forest, Illinois"
919,Banking,1906.0,$12.7B,Canara Bank,"Bangalore, India"
920,Drugs & Biotechnology,1961.0,$17.9B,Viatris,"Canonsburg, Pennsylvania"
921,Utilities,1886.0,$3.9B,American Water Works,"Camden, New Jersey"
922,Semiconductors,1980.0,$7.6B,United Microelectronics,"Hsinchu, Taiwan"
923,"Clothing, Shoes, Sports Equipment",1899.0,$11.6B,VF,"Denver, Colorado"
924,Health Care Equipment & Services,1995.0,$5.9B,Intuitive Surgical,"Sunnyvale, California"
925,Oil & Gas Operations,1941.0,$3.9B,Snam,"Milan, Italy"
926,Capital Goods,1945.0,$18.4B,Vestas Wind Systems,"Aarhus, Denmark"
927,Consumer Durables,1953.0,$25.1B,Subaru,"Tokyo, Japan"
928,Construction,1998.0,$14B,Jiangsu Zhongnan Construction Group,"Shanghai, China"
929,"Food, Drink & Tobacco",1847.0,$10.6B,Carlsberg,"Copenhagen, Denmark"
930,Construction,1998.0,$19.9B,Builders FirstSource,"Dallas, Texas"
931,Semiconductors,2000.0,$5.5B,Semiconductor Manufacturing International,"Shanghai, China"
932,Banking,1919.0,$4.5B,PKO Bank Polski,"Warsaw, Poland"
933,Oil & Gas Operations,1992.0,$14.4B,ENN Energy Holdings,"Langfang, China"
934,"Food, Drink & Tobacco",2006.0,$27.3B,WH Group,"Hong Kong, Hong Kong"
935,Materials,1860.0,$13.6B,Amcor,"Warmley, United Kingdom"
936,Oil & Gas Operations,1983.0,$24B,Korea Gas,"Daegu, South Korea"
937,Conglomerates,1968.0,$8.6B,Jefferies Financial,"New York, New York"
938,Materials,1955.0,$11.6B,Severstal,"Cherepovets, Russia"
939,Diversified Financials,1994.0,$2.1B,Alexandria Real Estate Equities,"Pasadena, California"
940,Banking,1890.0,$5B,Julius Baer Group,"Zurich, Switzerland"
941,Diversified Financials,1918.0,$14.4B,Sanlam,"Bellville, South Africa"
942,Construction,1997.0,$7.9B,Emaar Properties,"Dubai, United Arab Emirates"
943,Banking,1955.0,$3.9B,Joint Stock Commercial Bank for Foreign Trade of Vietnam,"Ha Noi, Vietnam"
944,Aerospace & Defense,2011.0,$8.2B,Motorola Solutions,"Chicago, Illinois"
945,Banking,2005.0,$5.8B,Shanghai Rural Commercial Bank,"Shanghai, China"
946,Chemicals,2002.0,$19.6B,Braskem,"Butanta, Brazil"
947,Banking,1957.0,$12.1B,Bank of Baroda,"Vadodara, India"
948,Oil & Gas Operations,1976.0,$24B,S-Oil,"Seoul, South Korea"
949,Retailing,1938.0,$13B,Tractor Supply,"Brentwood, Tennessee"
950,Insurance,1996.0,$9.9B,Suncorp Group,"Brisbane, Australia"
951,Oil & Gas Operations,1991.0,$19.6B,MOL Hungarian Oil,"Budapest, Hungary"
952,Consumer Durables,1994.0,$15.6B,Aptiv,"Dublin, Ireland"
953,Insurance,1999.0,$4.2B,Voya Financial,"New York, New York"
954,Conglomerates,1966.0,$17.7B,GS Holdings,"Seoul, South Korea"
955,Materials,1901.0,$14.5B,Gerdau (Cosigua),"SÃ£o Paulo, Brazil"
956,Diversified Financials,1993.0,$2.4B,Equity Residential,"Chicago, Illinois"
957,Banking,1982.0,$1.8B,Qatar Islamic Bank,"Doha, Qatar"
958,"Food, Drink & Tobacco",1891.0,$12B,Hormel Foods,"Austin, Minnesota"
959,Diversified Financials,1996.0,$6.8B,Shenwan Hongyuan Group,"Urumqi, China"
960,Insurance,1973.0,$16.7B,Reinsurance Group of America,"Chesterfield, Missouri"
961,Health Care Equipment & Services,1967.0,$10.7B,Quest Diagnostics,"Secaucus, New Jersey"
962,"Construction, Oil & Gas Operations, Mining and Chemicals",1863.0,$13.5B,Solvay,"Brussels, Belgium"
963,Oil & Gas Operations,1997.0,$6.9B,Pembina Pipeline,"Calgary, Canada"
964,Banking,1977.0,$2.2B,Banque Saudi Fransi,"Riyadh, Saudi Arabia"
965,Capital Goods,1959.0,$6.4B,SMC,"Tokyo, Japan"
966,"Construction, Oil & Gas Operations, Mining and Chemicals",1950.0,$15.5B,Sasol,"Sandton, South Africa"
967,"Food, Drink & Tobacco",1786.0,$10.3B,Molson Coors Brewing,"Golden, Colorado"
968,Retailing,1929.0,$25.3B,Macy's,"New York, New York"
969,Banking,1945.0,$6.1B,Bancolombia,"Medellin, Colombia"
970,Business Services & Supplies,1968.0,$7.6B,Cintas,"Cincinnati, Ohio"
971,Capital Goods,1980.0,$25.3B,China International Marine,"Shenzhen, China"
972,Utilities,1994.0,$31.5B,Huaneng Power International,"Beijing, China"
973,"Hotels, Restaurants & Leisure",2014.0,$5.7B,Restaurant Brands International,"Toronto, Canada"
974,Insurance,1803.0,$10.1B,Grupa PZU,"Warsaw, Poland"
975,Household & Personal Products,1887.0,$12.9B,Kao,"Tokyo, Japan"
976,Construction,2005.0,$11.5B,Agile Group Holdings,"Guangzhou, China"
977,Trading Companies,1946.0,$34.5B,Arrow Electronics,"Centennial, Colorado"
978,Business Services & Supplies,1997.0,$14.9B,Shenzhen Overseas,"Shenzhen, China"
979,Health Care Equipment & Services,1967.0,$19.4B,Tenet Healthcare,"Dallas, Texas"
980,Diversified Financials,1994.0,$10.3B,Grupo Aval,"Bogota, Colombia"
981,Food Markets,1988.0,$17.7B,CP All,"Bangkok, Thailand"
982,Consumer Durables,1973.0,$15.8B,Geely Automobile Holdings,"Hong Kong, Hong Kong"
983,Utilities,1997.0,$20.3B,Centrica,"Windsor, United Kingdom"
984,Banking,1975.0,$3.2B,Dubai Islamic Bank,"Dubai, United Arab Emirates"
985,Materials,1924.0,$7.6B,Suzano Papel e Celulose,"Salvador, Brazil"
986,Diversified Financials,2005.0,$1.5B,Link REIT,"Hong Kong, Hong Kong"
987,"Hotels, Restaurants & Leisure",1997.0,$6.6B,Yum! Brands,"Louisville, Canada"
988,Materials,1983.0,$8.3B,First Quantum Minerals,"Vancouver, Canada"
989,Business Services & Supplies,1995.0,$4.5B,AerCap Holdings,"Dublin, Ireland"
990,Banking,1864.0,$3.1B,First Horizon,"Memphis, Tennessee"
991,Media,2001.0,$9.9B,Dentsu,"Tokyo, Japan"
992,Drugs & Biotechnology,1980.0,$27.8B,Molina Healthcare,"Long Beach, California"
993,Banking,1919.0,$11.3B,Union Bank of India,"Mumbai, India"
994,Household & Personal Products,1926.0,$19.7B,Toray Industries,"Tokyo, Japan"
995,IT Software & Services,2009.0,$17.7B,Block,"San Francisco, California"
996,Utilities,1962.0,$7B,EletrobrÃ¡s,"Rio de Janeiro, Brazil"
997,"Food, Drink & Tobacco",2004.0,$13.7B,China Mengniu Dairy,"Hong Kong, Hong Kong"
998,Insurance,1968.0,$15B,Db Insurance,"Seoul, South Korea"
999,Banking,1992.0,$3.1B,E.Sun Financial,"Taipei, Taiwan"
1000,Banking,1949.0,$5.8B,OTP Bank,"Budapest, Hungary"
1001,Retailing,1958.0,$8.1B,SM Investments,"Manila, Philippines"
1002,Business Services & Supplies,1995.0,$10.9B,eBay,"San Jose, California"
1003,Drugs & Biotechnology,1958.0,$5.2B,Edwards Lifesciences,"Irvine, California"
1004,Banking,1946.0,$2.7B,Taiwan Cooperative Financial,"Taipei, Taiwan"
1005,"Food, Drink & Tobacco",1945.0,$8.8B,Constellation Brands,"Victor, New York"
1006,Construction,2004.0,$14B,China Jinmao,"Hong Kong, Hong Kong"
1007,Capital Goods,1972.0,$6.5B,Fanuc,"Minamitsuru, Japan"
1008,Construction,,$12.6B,Yango Group,"Shanghai, China"
1009,Capital Goods,1860.0,$8.3B,Legrand,"Limoges, France"
1010,Drugs & Biotechnology,1994.0,$33.4B,Shanghai Pharmaceuticals,"Shanghai, China"
1011,Chemicals,1907.0,$15.4B,AGC,"Tokyo, Japan"
1012,Construction,,$23.8B,Shaanxi Construction Engineering Group,"Xi'an, China"
1013,Materials,1997.0,$25.8B,Hunan Valin Steel,"Changsha, China"
