,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
360, Mr. John B. Hess,United States," 1,545"," DecemberÂ 11, 1919","NewYork,NY,UnitedStates",Oil & Gas E&P,$32.81 B,Hess Corporation,HES
361, Mr. Stephane  Richard,France," 132,002", 1Â January 1988,"Paris,France",Telecom Services,$32.84 B,Orange SA,ORA
362, Dr. Theodor  Weimer,Germany," 8,855",,"Eschborn,Germany",Financial Data & Stock Exchanges,$32.99 B,Deutsche BÃ¶rse AG,DB1
363, Mr. Alexander J. Pourbaix,Canada," 5,938", 2009,"Calgary,AB,Canada",Oil & Gas Integrated,$33.02 B,Cenovus Energy Inc.,CVE
364, Mr. Kevin P. Clark,Ireland," 155,000", 1994,"Dublin,Ireland",Auto Parts,$33.02 B,Aptiv PLC,APTV
365, Mr. Blake D. Moret,United States," 24,500", 1903,"Milwaukee,WI,UnitedStates",Specialty Industrial Machinery,$33.05 B,"Rockwell Automation, Inc.",ROK
366," Mr. Kevin David Strain C.A., CPA",Canada," 22,719",,"Toronto,ON,Canada",InsuranceâDiversified,$33.08 B,Sun Life Financial Inc.,SLF
367, Ms. Judith F. Marks,United States," 70,000", 20Â September 1853,"Farmington,CT,UnitedStates",Specialty Industrial Machinery,$33.09 B,Otis Worldwide Corporation,OTIS
368, Mr. Eric S. Yuan,United States," 6,787"," AprilÂ 21, 2011","SanJose,CA,UnitedStates",Telecom Services,$33.22 B,"Zoom Video Communications, Inc.",ZM
369,,Hong Kong," 47,537",,"WanChai,HongKong",Real EstateâDevelopment,$33.26 B,China Resources Land Ltd,1109
370," Mr. E. Borje Ekholm MBA, MSc",Sweden," 100,454"," Stockholm, Sweden 1876","Stockholm,Sweden",Communication Equipment,$33.29 B,Telefonaktiebolaget LM Ericsson,ERIC.A
371, Mr. Franklin K. Clyburn Jr.,United States," 24,000", 1889Â ,"NewYork,NY,UnitedStates",Specialty Chemicals,$33.32 B,International Flavors & Fragrances Inc.,IFF
372, Mr. Jiusheng  Zhu MBA,China," 140,565",,"Shenzhen,China",Real EstateâDevelopment,$33.35 B,China Vanke Co. Ltd,000002
373, Mr. Frans W. H. Muller,Netherlands," 144,550",,"Zaandam,Netherlands",Grocery Stores,$33.43 B,Koninklijke Ahold Delhaize N.V.,AD
374, Mr. Auttapol  Rerkpiboon,Thailand,,,"Bangkok,Thailand",Oil & Gas Integrated,$33.46 B,PTT PCL,PTT
375, Mr. Masahiro  Kihara,Japan," 54,492", 2001,"Tokyo,Japan",Banks,$33.47 B,"Mizuho Financial Group, Inc.",8411
376, Mr. Joseph Y. Bae,United States," 3,238", 1976,"NewYork,NY,UnitedStates",Asset Management,$33.49 B,KKR & Co. Inc.,KKR
377,,China," 61,201",,"Guangzhou,China",Real EstateâDevelopment,$33.64 B,Poly Developments and Holdings Group Co. Ltd,600048
378, Dr. Chak-pui  Kam,Hong Kong," 31,968",,"KowloonBay,HongKong",Railroads,$33.66 B,MTR Corp Ltd,0066
379, Mr. Kenji  Yamaguchi,Japan," 8,256",,"Yamanashi,Japan",Specialty Industrial Machinery,$33.68 B,FANUC Corp,6954
380, Dr. Detlef A. Trefzger,Switzerland," 73,516",,"Schindellegi,Switzerland",Integrated Freight & Logistics,$33.69 B,Kuehne + Nagel International AG,KNIN
381, Mr. Roger Crosby Hochschild,United States," 16,700", 1985,"Riverwoods,IL,UnitedStates",Credit Services,$33.73 B,Discover Financial Services,DFS
382, Mr. Donnie D. King,United States," 137,000", 1935,"Springdale,AR,UnitedStates",Farm Products,$33.73 B,"Tyson Foods, Inc.",TSN
383, Mr. Jeffrey Allen Miller,United States," 40,000", 1919,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$33.95 B,Halliburton Company,HAL
384," Mr. Robert W. Sharps C.F.A., CPA, CFA, CPA",United States," 7,529", 1937,"Baltimore,MD,UnitedStates",Asset Management,$34.01 B,"T. Rowe Price Group, Inc.",TROW
385, Mr. Chi-Mau  Sheih,Taiwan," 20,341"," JuneÂ 15, 1996","TaipeiCity,Taiwan",Telecom Services,$34.06 B,"Chunghwa Telecom Co., Ltd.",2412
386, Mr. Mark J. Parrell,United States," 2,400", 1969,"Chicago,IL,UnitedStates",REITâResidential,$34.11 B,Equity Residential,EQR
387,,China," 3,380",,"Chongqing,China",Biotechnology,$34.13 B,Chongqing Zhifei Biological Products Co. Ltd,300122
388, Mr. J. Patrick Gallagher Jr.,United States," 39,000", 1927,"RollingMeadows,IL,UnitedStates",Insurance Brokers,$34.22 B,Arthur J. Gallagher & Co.,AJG
389, Mr. Kentaro  Kawabe,Japan," 22,531",,"Tokyo,Japan",Internet Retail,$34.24 B,Z Holdings Corp,4689
390, Mr. Scott G. Stephenson,United States," 9,367", 1971,"JerseyCity,NJ,UnitedStates",Consulting Services,$34.39 B,"Verisk Analytics, Inc.",VRSK
391,,Australia, 418, 2002,"Sydney,NSW,Australia",Airports & Air Services,$34.40 B,Sydney Airport Limited,SYD
392, Dr. Michael  Strugl M.B.A.,Austria," 2,870",,"Vienna,Austria",                                        UtilitiesâRenewable                                    ,$34.44 B,VERBUND AG,OEW
393, Mr. Joseph M. Hogan,United States," 22,540", 1997,"Tempe,AZ,UnitedStates",Medical Devices,$34.49 B,"Align Technology, Inc.",ALGN
394, Mr. Daniel L. Florness,United States," 18,370", 1967,"Winona,MN,UnitedStates",Industrial Distribution,$34.58 B,Fastenal Company,FAST
395, Mr. James M. Cracchiolo,United States," 12,000", 1894,"Minneapolis,MN,UnitedStates",Asset Management,$34.64 B,"Ameriprise Financial, Inc.",AMP
396, Mr. Aditya  Mittal,Luxembourg," 158,000",,"LuxembourgCity,Luxembourg",                                        Steel                                    ,$34.66 B,ArcelorMittal,MT
397, Mr. Jan Eli B.  Craps,Hong Kong," 26,038",,"CausewayBay,HongKong",BeveragesâBrewers,$34.73 B,Budweiser Brewing Company APAC Ltd,1876
398,,China," 57,062",,"Beijing,China",Banks,$34.84 B,China CITIC Bank Corp Ltd,601998
399, Mr. Timothy P. Cawley,United States," 13,871", 1823 as the New York Gas Light Company,"NewYork,NY,UnitedStates",UtilitiesâRegulated Electric,$34.89 B,"Consolidated Edison, Inc.",ED
400, Mr. Jack A. Fusco,United States," 1,550", 1996,"Houston,TX,UnitedStates",Oil & Gas Midstream,$34.92 B,"Cheniere Energy, Inc.",LNG
401, Mr. Greg C. Gantt,United States," 23,663", 1934,"Thomasville,NC,UnitedStates",Trucking,$34.94 B,"Old Dominion Freight Line, Inc.",ODFL
402,,Hong Kong," 38,500",,"WanChai,HongKong",Real EstateâDevelopment,$35.04 B,Sun Hung Kai Properties Ltd,0016
403, Mr. David W. Gibbs,United States," 36,000"," October 6, 1997","Louisville,KY,UnitedStates",Restaurants,$35.12 B,"Yum! Brands, Inc.",YUM
404, Mr. Bradley William Corson BS,Canada," 5,400", 1880,"Calgary,AB,Canada",Oil & Gas Integrated,$35.13 B,Imperial Oil Limited,IMO
405, Mr. Benjamin W. Schall,United States," 2,839", 1978,"Arlington,VA,UnitedStates",REITâResidential,$35.19 B,"AvalonBay Communities, Inc.",AVB
406, Mr. Philippe Roger Donnet,Italy," 74,621",,"Trieste,Italy",InsuranceâDiversified,$35.20 B,Assicurazioni Generali,G
407," Mr. Ola  RollÃÂ©n B.Sc., B.Sc. (Econ.)",Sweden," 22,097",,"Stockholm,Sweden",Scientific & Technical Instruments,$35.21 B,Hexagon AB,HXG
408," Mr. Andrew Richard Penn M.B.A., AMP, MBA, BEc, FCCA, HFAIPM",Australia," 26,728", 1Â July 1975,"Melbourne,VIC,Australia",Telecom Services,$35.24 B,Telstra Corporation Limited,TLS
409, Dr. Carsten  Knobel,Germany," 52,450",,"DÃ¼sseldorf,Germany",Household & Personal Products,$30.53 B,Henkel AG & Co KGaA,HEN
410, Mr. Parag  Agrawal,United States," 7,500"," MarchÂ 21, 2006","SanFrancisco,CA,UnitedStates",Internet Content & Information,$30.83 B,"Twitter, Inc.",TWTR
411, Mr. Marshall S. McCrea III,United States," 12,558", 1995,"Dallas,TX,UnitedStates",Oil & Gas Midstream,$30.69 B,Energy Transfer LP,ET
412," Mr. Galen G. Weston B.A., M.B.A, M.B.A.",Canada," 200,000"," Toronto, Ontario, Canada 1956","Brampton,ON,Canada",Grocery Stores,$30.70 B,Loblaw Companies Limited,L
413, Mr. Peter P. Gassner,United States," 4,506", 2007,"Pleasanton,CA,UnitedStates",Health Information Services,$30.76 B,Veeva Systems Inc.,VEEV
414, Mr. Pekka Ilmari Lundmark,Finland," 87,927", 12Â May 1865,"Espoo,Finland",Communication Equipment,$30.91 B,Nokia Corporation,NOKIA.SEK
415,,China," 204,815",,"Shanghai,China",Auto Manufacturers,$30.93 B,SAIC Motor Corp Ltd,600104
416, Mr. Ronald Philip O'Hanley,United States," 38,784", 1792,"Boston,MA,UnitedStates",Asset Management,$30.95 B,State Street Corporation,STT
417, Ms. Catherine  MacGregor,France," 154,364",,"Courbevoie,France",UtilitiesâDiversified,$31.00 B,Engie SA,ENGI
418,,China," 47,539",,"Wuhu,China",Building Materials,$31.02 B,Anhui Conch Cement Company Ltd,600585
419, Mr. Paul  Brink,Canada, 38,,"Toronto,ON,Canada",Gold,$31.00 B,Franco-Nevada Corporation,FNV
420,,China," 110,940",,"Shanghai,China",InsuranceâLife,$31.04 B,China Pacific Insurance,601601
421, Mr. Jagtar Singh Chaudhry,United States," 3,153", 2007,"SanJose,CA,UnitedStates",SoftwareâInfrastructure,$31.03 B,"Zscaler, Inc.",ZS
422, Dr. Leonhard  Birnbaum,Germany," 63,227",,"Essen,Germany",UtilitiesâDiversified,$31.12 B,E.ON SE,EOAA
423, Mr. David A. Zapico,United States," 18,500", 1930,"Berwyn,PA,UnitedStates",Specialty Industrial Machinery,$31.15 B,"AMETEK, Inc.",AME
424,,China," 2,526",,"Zhangzhou,China",Drug ManufacturersâGeneral,$31.17 B,Zhangzhou Pientzehuang Pharmaceutical. Ltd,600436
425,,Taiwan,,,"Mailiao,Taiwan",Oil & Gas Refining & Marketing,$31.22 B,Formosa Petrochemical Corp,6505
426, Mr. Dimitri  de Vreeze,Netherlands," 21,358",,"Heerlen,Netherlands",Specialty Chemicals,$31.25 B,Koninklijke DSM N.V.,DSM
427, Mr. Urs  Schaeppi lic. oec. HSG,Switzerland," 18,905",,"Bern,Switzerland",Telecom Services,$31.26 B,Swisscom AG,SCMN
428, Mr. Michel  Vounatsos,United States," 9,610", 1978,"Cambridge,MA,UnitedStates",Drug ManufacturersâGeneral,$31.35 B,Biogen Inc.,BIIB
429, Mr. Hiroya  Masuda,Japan," 243,612",,"Tokyo,Japan",Banks,$31.41 B,Japan Post Holdings Co. Ltd,6178
430,,Ireland," 77,400"," Cement Limited 1936, Roadstone Limited 1949 & merger to form Cement Roadstone Holdings 1970","Dublin,Ireland",Building Materials,$31.45 B,CRH plc,CRH
431, Mr. Ruiwen  Ke,Hong Kong," 278,922",,"WanChai,HongKong",Telecom Services,$31.49 B,China Telecom Corp Ltd,0728
432, Mr. Joseph R. Nolan Jr.,United States," 9,227", 1966,"Springfield,MA,UnitedStates",UtilitiesâRegulated Electric,$31.56 B,Eversource Energy,ES
433, Mr. Hongmeng  Cheng,China," 196,159",,"Shenzhen,China",Communication Equipment,$31.58 B,Foxconn Industrial Internet Co. Ltd,601138
434, Mr. Masamichi  Terabatake,Japan," 55,381",,"Tokyo,Japan",Tobacco,$31.59 B,"Japan Tobacco, Inc.",2914
435, Mr. Wendell P. Weeks,United States," 61,200", 1851,"Corning,NY,UnitedStates",Electronic Components,$31.60 B,Corning Incorporated,GLW
436, Mr. Gregory Leith Goodman,Australia, 941, 1989,"Rosebery,NSW,Australia",REITâDiversified,$31.64 B,Goodman Group,GMG
437, Mr. Pierce H. Norton II,United States," 2,847", 1906,"Tulsa,OK,UnitedStates",Oil & Gas Midstream,$31.66 B,"ONEOK, Inc.",OKE
438, Mr. Patrick K. Kaltenbach,United States," 15,600", 1945,"Columbus,OH,UnitedStates",Diagnostics & Research,$31.78 B,Mettler-Toledo International Inc.,MTD
439,,Indonesia," 20,817", 23 October 1856,"Bandung,Indonesia",Telecom Services,$31.78 B,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,TLK
440, Mr. Michael H. McGarry,United States," 49,300", 1883,"Pittsburgh,PA,UnitedStates",Specialty Chemicals,$31.89 B,"PPG Industries, Inc.",PPG
441,,Japan," 12,451",,"Tokyo,Japan",Banks,$31.93 B,"JAPAN POST BANK Co.,Ltd.",7182
442, Mr. Xuping  Chen,China," 44,065",,"Beijing,China",Real EstateâDevelopment,$31.98 B,Longfor Group Holdings Ltd,0960
443,,China," 63,174",,"Baoding,China",Auto Manufacturers,$32.01 B,Great Wall Motor Co Ltd,601633
444, Mr. R. Preston Feight,United States," 28,500", 1905,"Bellevue,WA,UnitedStates",Farm & Heavy Construction Machinery,$32.04 B,PACCAR Inc,PCAR
445, Mr. Harry  Schmelzer Jr.,Brazil," 36,987",,"JaraguÃ¡doSul,SC,Brazil",Specialty Industrial Machinery,$32.05 B,WEG SA,WEGE3
446, Mr. Lawson E. Whiting,United States," 4,700", 1870,"Louisville,KY,UnitedStates",BeveragesâWineries & Distilleries,$32.07 B,Brown-Forman Corporation,BF.B
447, Mr. Coimbatore Sundararajan Venkatakrishnan,United Kingdom," 81,600", 17Â November 1690,"London,UnitedKingdom",Banks,$32.19 B,Barclays plc,BARC
448, Mr. Shizhong  Ding,China," 52,000",,"Jinjiang,China",Leisure,$32.20 B,ANTA Sports Products Ltd,2020
449, Mr. Kuan Moon  Yuen,Singapore," 22,914",,"Singapore,Singapore",Telecom Services,$32.23 B,Singapore Telecommunications Ltd,Z74
450,,China," 99,299",,"Qingdao,China","Furnishings, Fixtures & Appliances",$32.31 B,Haier Smart Home Co Ltd,600690
451, Mr. Tobias  Martinez Gimeno,Spain," 2,877",,"Madrid,Spain",Telecom Services,$32.32 B,"Cellnex Telecom, SA",CLNX
452,,Hong Kong," 135,304",,"Central,HongKong",Conglomerates,$32.33 B,CITIC Ltd,0267
453, Dr. Zhisheng  Chen,China," 9,864",,"Wuxi,China",Biotechnology,$32.41 B,WuXi Biologics,2269
454, Mr. ZhiChao  Zhang,Hong Kong," 5,916",,"Central,HongKong",Real EstateâDevelopment,$32.49 B,China Overseas Land & Investment Ltd,0688
455, Mr. Steven H. Collis,United States," 38,000", Merger between AmeriSource Health and Bergen Brunswig in 2001,"Chesterbrook,PA,UnitedStates",Medical Distribution,$32.51 B,AmerisourceBergen Corporation,ABC
456, Mr. Scott J. Lauber,United States," 6,938", 1896,"Milwaukee,WI,UnitedStates",UtilitiesâRegulated Electric,$32.54 B,"WEC Energy Group, Inc.",WEC
457, Ms. Barbara  Rentler,United States," 88,100", 1982,"Dublin,CA,UnitedStates",Apparel Retail,$32.71 B,"Ross Stores, Inc.",ROST
458,,China," 18,248",,"Shenzhen,China",UtilitiesâIndependent Power Producers,$19.25 B,CGN Power Co. Ltd,003816
459, Mr. Marco  AlverÃÂ ,Italy," 3,388",,"SanDonatoMilanese,MI,Italy",UtilitiesâRegulated Gas,$19.27 B,Snam S.p.A.,SRG
460, Mr. Seetarama Swamy Kotagiri,Canada," 158,000", 1957,"Aurora,ON,Canada",Auto Parts,$19.36 B,Magna International Inc.,MG
461, Dr. Jong-Kyoo  Yoon Ph.D.,South Korea," 25,428"," SeptemberÂ 29,Â 2008","Seoul,SouthKorea",Banks,$19.39 B,KB Financial Group Inc.,105560
462, Mr. Carl  Cederschiold,Sweden," 10,793",,"Stockholm,Sweden",Banks,$19.42 B,Svenska Handelsbanken AB,SHB.A
463, Mr. Robert Maurice Powell Jr.,Germany," 122,909",,"BadHomburg,Germany",Medical Care Facilities,$19.42 B,Fresenius Medical Care AG & Co. KGaA,FME
464, Mr. Miguel Stilwell de Andrade,Portugal," 12,236",,"Lisbon,Portugal",                                        UtilitiesâDiversified                                    ,$19.43 B,EDP - Energias de Portugal SA,EDP
465, Mr. Ignacio Madridejos Fernandez,Spain," 18,680",,"Madrid,Spain",Infrastructure Operations,$19.44 B,"Ferrovial, SA",FER
466, Mr. Joseph Michael Zubretsky,United States," 14,000", 1980,"LongBeach,CA,UnitedStates",Healthcare Plans,$19.46 B,"Molina Healthcare, Inc.",MOH
467, Mr. Michael  Stubblefield,United States," 13,500", 1904,"Radnor,PA,UnitedStates",Specialty Chemicals,$19.48 B,"Avantor, Inc.",AVTR
468, Mr. Guanlin  Huang,Hong Kong," 94,400",,"Kowloon,HongKong",Textile Manufacturing,$19.50 B,Shenzhou International Group Holdings Ltd,2313
469, Mr. Gilberto  Tomazoni,Brazil," 250,000",,"SaoPaulo,SP,Brazil",Packaged Foods,$19.53 B,JBS SA,JBSS3
470, Mr. Christopher A. Cartwright,United States," 10,200"," FebruaryÂ 8, 1968","Chicago,IL,UnitedStates",Consulting Services,$19.53 B,TransUnion,TRU
471, Mr. Marc  Grandisson,Bermuda," 5,200", 1995,"Pembroke,Bermuda",                                        InsuranceâDiversified                                    ,$19.54 B,Arch Capital Group Ltd.,ACGL
472, Mr. Lee M. Tillman,United States," 1,531", 1887,"Houston,TX,UnitedStates",Oil & Gas E&P,$19.54 B,Marathon Oil Corporation,MRO
473, Mr. Yi  Zhou,China," 7,375",,"Nanjing,China",Capital Markets,$19.55 B,"Huatai Securities Co., Ltd.",601688
474,,China," 20,500",,"Beijing,China",Telecom Services,$19.55 B,China Tower Corp Ltd,0788
475, Dr. F. Thomson Leighton,United States," 8,700", 1998,"Cambridge,MA,UnitedStates",SoftwareâInfrastructure,$19.59 B,"Akamai Technologies, Inc.",AKAM
476, Mr. Yifang  Wu,China," 32,258",,"Shanghai,China",Drug ManufacturersâSpecialty & Generic,$19.63 B,Shanghai Fosun Pharmaceutical,600196
477, Mr. Rene A. Lacerte,United States," 1,384", 2006,"PaloAlto,CA,UnitedStates",SoftwareâApplication,$19.65 B,"Bill.com Holdings, Inc.",BILL
478,,Hong Kong," 10,059",,"Central,HongKong",Real Estate Services,$19.67 B,Henderson Land Development Co Ltd,0012
479, Mr. George D. Schindler,Canada," 82,000", JuneÂ 1976,"Montreal,QC,Canada",Information Technology Services,$19.67 B,CGI Inc.,GIB.A
480, Mr. Masahiko  Uotani,Japan," 39,035",,"Tokyo,Japan",Household & Personal Products,$19.69 B,Shiseido Co Ltd,4911
481,,Bermuda,," JanuaryÂ 14, 2008","Hamilton,Bermuda",                                        UtilitiesâDiversified                                    ,$19.70 B,Brookfield Infrastructure Partners L.P.,BIP.UN
482, Mr. Hidetoshi  Shibata,Japan," 18,612",,"Tokyo,Japan",Semiconductors,$19.73 B,Renesas Electronics Corp,6723
483, Mr. Edmond  Scanlon,Ireland," 22,000",,"Tralee,Ireland",Packaged Foods,$19.74 B,Kerry Group plc,KRZ
484, Mr. Stephen P. MacMillan,United States," 6,705", 1985,"Marlborough,MA,UnitedStates",Medical Instruments & Supplies,$19.75 B,"Hologic, Inc.",HOLX
485, Mr. Michael  O'Leary,Ireland," 17,000", 28Â NovemberÂ 1984,"Swords,Ireland",Airlines,$19.78 B,Ryanair Holdings plc,RY4C
486," Mr. Simpiwe Kenneth Tshabalala AMP, B.A., BA, HDip Tax, L.L.B., L.L.M., LLB, LLM",South Africa," 49,224",,"Johannesburg,SouthAfrica",Banks,$19.82 B,Standard Bank Group Ltd,SBK
487,,United Kingdom," 22,000", 2000,"London,UnitedKingdom",InsuranceâDiversified,$19.82 B,Aviva plc,AV.
488,,China," 133,294",,"Beijing,China",Engineering & Construction,$19.83 B,China Communications Construction Co Ltd,601800
489, Mr. Xiaohai  Hou,Hong Kong," 25,000",,"WanChai,HongKong",BeveragesâBrewers,$19.84 B,China Resources Beer (Holdings) Company Ltd,0291
490, Mr. Mark E. Jagiela,United States," 5,900", 1960,"NorthReading,MA,UnitedStates",Semiconductor Equipment & Materials,$19.85 B,"Teradyne, Inc.",TER
491, Mr. Yoshihiro  Hasebe,Japan," 33,409",,"Tokyo,Japan",Household & Personal Products,$19.85 B,Kao Corp,4452
492, Mr. Cristiano Cardoso Teixeira,Brazil,,,"SaoPaulo,SP,Brazil",Paper & Paper Products,$19.86 B,Klabin SA,KLBN11
493, Mr. Chad R. Richison,United States," 5,385", 1998,"OklahomaCity,OK,UnitedStates",SoftwareâApplication,$19.87 B,"Paycom Software, Inc.",PAYC
494, Mr. Sunil  Duggal,India," 17,047", 22Â April 2003 as Angelchange Limited ,"Mumbai,India",Other Industrial Metals & Mining,$19.93 B,Vedanta Limited,VEDL
495,,China," 18,645",,"Changzhou,China",Solar,$19.94 B,Trina Solar Co. Ltd,688599
496, Mr. Lee  Olesky,United States," 1,046", 1998,"NewYork,NY,UnitedStates",Capital Markets,$19.98 B,Tradeweb Markets Inc.,TW
497, Mr. Gary A. Shiffman,United States," 4,948", 1975,"Southfield,MI,UnitedStates",REITâResidential,$19.98 B,"Sun Communities, Inc.",SUI
498, Mr. Jean-Jacques  Henchoz,Germany," 3,346",,"Hanover,Germany",InsuranceâReinsurance,$20.02 B,Hannover RÃ¼ck SE,HNRB
499, Dr. Prahlad R. Singh Ph.D.,United States," 16,700", 1937,"Waltham,MA,UnitedStates",Diagnostics & Research,$20.05 B,"PerkinElmer, Inc.",PKI
500, Ms. Hilde Merete Aasheim,Norway," 31,264",,"Oslo,Norway",                                        Aluminum                                    ,$20.10 B,Norsk Hydro ASA,NHY
501, Mr. Daniel Joseph Houston,United States," 18,600", 1879,"DesMoines,IA,UnitedStates",InsuranceâDiversified,$20.13 B,"Principal Financial Group, Inc.",PFG
502, Mr. Stefan  Bomhard,United Kingdom," 30,300", 1901,"Bristol,UnitedKingdom",Tobacco,$20.14 B,Imperial Brands plc,IMB
503,,Taiwan," 21,159",,"TaipeiCity,Taiwan",InsuranceâLife,$20.15 B,CTBC Financial Holding Co. Ltd,2891
504,,Hong Kong," 288,729",,"Kowloon,HongKong",Engineering & Construction,$20.15 B,China Railway Group Ltd,0390
505, Mr. Sigve  Brekke,Norway," 18,000",,"Fornebu,Norway",                                        Telecom Services                                    ,$20.15 B,Telenor ASA,TEL
506, Dr. Patrick  Frost,Switzerland," 8,623",,"Zurich,Switzerland",InsuranceâDiversified,$20.16 B,Swiss Life Holding AG,SLHN
507,,China," 193,494",,"Beijing,China",InsuranceâProperty & Casualty,$27.93 B,The People's Insurance Company (Group) of China Ltd,601319
508,,Hong Kong," 172,907",,"Central,HongKong",Conglomerates,$27.94 B,CK Hutchison Holdings Ltd,0001
509,,Thailand,,,"Bangkok,Thailand",Airports & Air Services,$28.00 B,Airports of Thailand Public Company Ltd,AOT
510, Ms. Jennifer C. Witz,United States," 5,590"," JulyÂ 29, 2008","NewYork,NY,UnitedStates",Broadcasting,$28.05 B,Sirius XM Holdings Inc.,SIRI
511, Mr. George  Wills,Germany, 888,,"Stuttgart,Germany",Auto Manufacturers,$28.15 B,Porsche Automobil Holding SE,PAHA
512, Dr. Hai Jun  Zhao,China," 17,354",,"Shanghai,China",Semiconductors,$28.24 B,Semiconductor Manufacturing International Corp,688981
513, Mr. Ken  Murphy,United Kingdom," 360,000"," 1919Â (1919) - Hackney, London, England","WelwynGardenCity,UnitedKingdom",Grocery Stores,$28.11 B,Tesco plc,TSCO
514, Mr. Mark W. Begor,United States," 12,700", 1899,"Atlanta,GA,UnitedStates",Consulting Services,$28.24 B,Equifax Inc.,EFX
515, Mr. Brendan  Horgan,United Kingdom," 21,033", 1947,"London,UnitedKingdom",Rental & Leasing Services,$28.28 B,Ashtead Group plc,AHT
516, Dr. David Todd Feinberg MBA,United States," 25,150", 1979,"NorthKansasCity,MO,UnitedStates",Health Information Services,$28.31 B,Cerner Corporation,CERN
517, Mr. James P. Snee,United States," 20,000", 1891,"Austin,MN,UnitedStates",Packaged Foods,$28.52 B,Hormel Foods Corporation,HRL
518," Mr. Robert Anthony Wheals C.A., B.Com., BCom, CA, GAICD, MAICD",Australia," 2,000",,"Sydney,NSW,Australia",UtilitiesâRegulated Gas,$28.55 B,APA Group,APA
519, Mr. Francisco Miguel  ReynÃÂ©s Massanet,Spain," 7,231",,"HumanesdeMadrid,Spain",UtilitiesâRegulated Gas,$28.71 B,"Naturgy Energy Group, SA",NTGY
520," Mr. Joseph  Galli Jr., BSBA, M.B.A., MBA.",Hong Kong," 51,426",,"KwaiChung,HongKong",Tools & Accessories,$28.75 B,Techtronic Industries Company Ltd,0669
521, Mr. James M. Foote,United States," 20,900"," NovemberÂ 1, 1980","Jacksonville,FL,UnitedStates",Railroads,$28.90 B,CSX Corporation,CSX
522, Mr. Gregory W. Becker,United States," 6,567", 1983,"SantaClara,CA,UnitedStates",Banks,$28.91 B,SVB Financial Group,SIVB
523,,China," 29,379",,"Shanghai,China",Marine Shipping,$28.93 B,COSCO SHIPPING Holdings Co Ltd,601919
524, Dr. Markus  Krebber,Germany," 18,902",,"Essen,Germany",UtilitiesâDiversified,$29.06 B,RWE AG,RWE
525, Mr. Robert Glen Goldstein,United States," 44,500"," November 17, 1988","LasVegas,NV,UnitedStates",Resorts & Casinos,$29.07 B,Las Vegas Sands Corp.,LVS
526,,China," 25,549",,"Chengdu,China",Farm Products,$29.10 B,Tongwei Co. Ltd,600438
527," Mr. Anthony  Staffieri F.C.A., FCA, FCPA",Canada," 23,000",,"Toronto,ON,Canada",Telecom Services,$29.13 B,Rogers Communications Inc.,RCI.B
528, Mr. Jean-Bernard  Levy,France," 163,423",,"Paris,France",UtilitiesâDiversified,$29.17 B,ElectricitÃ© de France SA,EDF
529, Mr. Luis  Maroto Camino,Spain," 15,936",,"Madrid,Spain",Information Technology Services,$29.19 B,"Amadeus IT Group, SA",AMS
530, Mr. Kenji  Yasukawa Ph.D.,Japan," 15,455",,"Tokyo,Japan",Drug ManufacturersâGeneral,$29.22 B,"Astellas Pharma, Inc.",4503
531, Mr. Ronald S. Nersesian,United States," 14,300", 2014,"SantaRosa,CA,UnitedStates",Scientific & Technical Instruments,$29.40 B,"Keysight Technologies, Inc.",KEYS
532, Mr. John A. Hayes,United States," 24,300", 1880,"Westminster,CA,UnitedStates",Packaging & Containers,$29.40 B,Ball Corporation,BLL
533,,Saudi Arabia,,,"Riyadh,SaudiArabia",UtilitiesâRegulated Electric,$29.42 B,Saudi Electricity Company,5110
534," Mr. Devin W. Stockfish Esq., J.D.",United States," 9,214", 1900,"Seattle,WA,UnitedStates",REITâSpecialty,$29.42 B,Weyerhaeuser Company,WY
535, Ms. Adena T. Friedman,United States," 5,814"," FebruaryÂ 8, 1971","NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$29.52 B,"Nasdaq, Inc.",NDAQ
536, Mr. Daniel G. Ek,Luxembourg," 6,617", 23Â April 2006,"Luxembourg,Luxembourg",                                        Internet Content & Information                                    ,$29.56 B,Spotify Technology SA,SPOT
537, Mr. A. Jayson Adair,United States," 8,600"," Vallejo, California 1982","Dallas,TX,UnitedStates",Specialty Business Services,$29.58 B,"Copart, Inc.",CPRT
538,,Taiwan," 57,347",,"Taipei,Taiwan",InsuranceâLife,$29.58 B,Cathay Financial Holding Co. Ltd,2882
539, Mr. Andrea  Orcel,Italy," 80,879",,"Milan,MI,Italy",Banks,$29.65 B,UniCredit S.p.A.,UCG
540, Mr. Johan  Thijs,Belgium," 33,916",,"Brussels,Belgium",Banks,$29.81 B,KBC Group NV,KDB
541, Ms. Sharmistha  Dubey,United States," 2,500", 1986,"Dallas,TX,UnitedStates",Internet Content & Information,$29.82 B,"Match Group, Inc.",MTCH
542, Mr. Carl A. Hess,United Kingdom," 46,000", 5Â January 2016,"London,UnitedKingdom",Insurance Brokers,$29.85 B,Willis Towers Watson plc,WLTW
