"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
"","78,126",Germany,Leonhard Birnbaum,2000,34.94 Billion USD,E.ON SE
1987,"20,507",USA,Daniel L. Florness,1967,34.87 Billion USD,FASTENAL COMPANY
"","3,090",USA,Timothy J Naughton,1978,34.78 Billion USD,AVALONBAY COMMUNITIES
"","89,575",Brazil,Octavio de Lazari Junior,1943,34.59 Billion USD,BANCO BRADESCO
"","7,970",USA,Michael J. Farrell,1989,34.57 Billion USD,RESMED
"","12,568",Denmark,Kristian Villumsen,1954,34.56 Billion USD,COLOPLAST A/S
"","30,263",Mexico,"",1978,34.47 Billion USD,GRUPO MEXICO
"","51,426",Hong Kong,"",1985,34.45 Billion USD,TECHTRONIC INDUSTRIES COMPANY
"","2,440",USA,Matthew Prince,2009,34.43 Billion USD,CLOUDFLARE
2014,"14,300",USA,"",2014,34.41 Billion USD,KEYSIGHT TECHNOLOGIES
"","47,486",China,Bin Wu,1997,34.36 Billion USD,ANHUI CONCH CEMENT COMPANY
"","39,000",USA,J. Patrick Gallagher Jr,1927,34.28 Billion USD,ARTHUR J. GALLAGHER
"","2,877",Spain,Tobias Martinez Gimeno,2015,34.19 Billion USD,CELLNEX TELECOM
"","9,610",USA,Michel Vounatsos,1978,34.17 Billion USD,BIOGEN
"","69,801",Japan,Tatsufumi Sakai,2001,34.09 Billion USD,MIZUHO FINANCIAL GROUP
"","4,783",USA,Alan S. Armstrong,1908,34.03 Billion USD,WILLIAMS COMPANIES
"","18,933",Canada,Worthing F Jackman,1997,33.93 Billion USD,WASTE CONNECTIONS
"","11,788",USA,David V. Auld,1978,33.92 Billion USD,D.R. HORTON
"","12,684",USA,Ralph Izzo,1903,33.88 Billion USD,PUBLIC SERVICE ENTERPRISE GROUP
"","34,209",Hong Kong,Jacob Kam,1972,33.75 Billion USD,MTR CORPORATION
"",596,Australia,"",1919,33.72 Billion USD,SYDNEY AIRPORT
"","2,400",USA,Mark J. Parrell,1969,33.62 Billion USD,EQUITY RESIDENTIAL
"","13,977",Taiwan,Mihn Tsao,1992,33.55 Billion USD,FORMOSA PETROCHEMICAL CORPORATION
"","59,900",USA,Tom Linebarger,1919,33.52 Billion USD,CUMMINS
"",559,USA,Joel S Marcus,1994,33.41 Billion USD,ALEXANDRIA REAL ESTATE EQUITIES
"","19,112",USA,Greg D. Carmichael,1858,33.31 Billion USD,FIFTH THIRD BANCORP
2009,"9,367",USA,Scott G. Stephenson,1971,33.30 Billion USD,VERISK ANALYTICS
"","48,000",Sweden,Nico Delvaux,1994,33.27 Billion USD,ASSA ABLOY AB (PUBL)
"","81,592",Netherlands,Frans van Houten,1891,33.23 Billion USD,PHILIPS
"","72,644",Italy,Philippe Donnet,1831,33.23 Billion USD,ASSICURAZIONI GENERALI
2020,"2,733",USA,Alex Karp,2003,33.20 Billion USD,PALANTIR TECHNOLOGIES
"","9,964",USA,Joseph W. Gorder,1980,33.12 Billion USD,VALERO ENERGY CORPORATION
"","1,600",USA,David A. Hager,1971,33.10 Billion USD,DEVON ENERGY CORPORATION
"","38,087",China,Tang Yong,1994,33.09 Billion USD,CHINA RESOURCES LAND
"","137,000",USA,Donnie D. King,1935,33.04 Billion USD,TYSON FOODS
"","24,586",China,"",1989,33.02 Billion USD,SANY HEAVY INDUSTRY CO. LTD
"","18,500",USA,David Zapico,1930,32.94 Billion USD,AMETEK
"","10,875",Thailand,Auttapol Rerkpiboon,1978,32.88 Billion USD,PTT PUBLIC COMPANY
"","24,589",Canada,Dean A. Connor,1865,32.87 Billion USD,SUN LIFE FINANCIAL
"","36,000",China,"",2003,32.81 Billion USD,AIER EYE HOSPITAL GROUP
2017,"10,400",USA,Ernest Garcia III,2012,32.80 Billion USD,CARVANA
"","1,000",Australia,Gregory Leith Goodman,1989,32.74 Billion USD,GOODMAN GROUP
"","28,800",USA,Leon Topalian,1940,32.71 Billion USD,NUCOR CORPORATION
"","28,445",South Africa,Bob van Dijk,1915,32.70 Billion USD,NASPERS
"","12,700",USA,Mark Begor,1899,32.63 Billion USD,EQUIFAX
"","32,218",Taiwan,Chi-Mau Sheih,1996,32.56 Billion USD,CHUNGHWA TELECOM
"","215,000",Australia,Bradford Banducci,1924,32.51 Billion USD,WOOLWORTHS GROUP
"","19,200",Netherlands,Bhavesh V. Patel,2007,32.48 Billion USD,LYONDELLBASELL INDUSTRIES
"","28,500",USA,Preston Feight,1905,32.43 Billion USD,PACCAR
"","61,200",USA,Wendell Weeks,1851,32.40 Billion USD,CORNING
1994,"8,600",USA,Jay Adair,1982,32.36 Billion USD,COPART
"","5,814",USA,Laurel Hurd,1971,32.36 Billion USD,NASDAQ
"","45,174",Taiwan,Ming Chung Daniel,1961,32.29 Billion USD,FUBON FINANCIAL HOLDING
"","21,869",Canada,Mark Bristow,1983,32.21 Billion USD,BARRICK GOLD CORPORATION
"","2,571",USA,Milan Galik,1978,32.19 Billion USD,INTERACTIVE BROKERS GROUP
"","67,409",Switzerland,Jan Jenisch,2015,32.10 Billion USD,HOLCIM LTD
"",450,USA,"",2010,"",INSTAGRAM
"","153,000",Sweden,Helena Helmersson,1947,32.08 Billion USD,H & M HENNES & MAURITZ AB
"","129,071",Japan,Hirotaka Hara,1935,32.03 Billion USD,FUJITSU
"","15,945",India,Kenichi Ayukawa,1982,31.99 Billion USD,MARUTI SUZUKI INDIA
"","19,000",Spain,Luis Maroto,1987,31.94 Billion USD,AMADEUS IT GROUP
"","8,211",China,"",2001,31.94 Billion USD,NARI TECHNOLOGY
"","90,800",Canada,Darren Entwistle,1990,31.93 Billion USD,TELUS CORPORATION
2021,"15,000",USA,Thomas Caulfield,2009,31.92 Billion USD,GLOBALFOUNDRIES INC.
"","4,700",USA,Lawson Whiting,1870,31.80 Billion USD,BROWN-FORMAN CORPORATION
"","59,258",China,Mingqiang BI,1987,31.76 Billion USD,CHINA CITIC BANK CORPORATION
2012,"5,836",USA,"",2012,31.74 Billion USD,MPLX LP
"","167,743",Luxembourg,Lakshmi Mittal,2006,31.73 Billion USD,ARCELORMITTAL
2013,"7,500",USA,Parag Agarwal,2006,31.72 Billion USD,TWITTER
1995,"199,327",USA,Michael A. Witynski,1986,31.71 Billion USD,DOLLAR TREE
"","",China,"",2006,31.59 Billion USD,YUNNAN ENERGY NEW MATERIAL
1996,"5,100",USA,Ajei Gopal,1970,31.59 Billion USD,ANSYS
2012,"58,824",USA,Arkadiy Dobkin,1993,31.58 Billion USD,EPAM SYSTEMS
2008,"6,400",USA,Susan Hardwick,1886,31.50 Billion USD,AMERICAN WATER WORKS COMPANY
"","7,340",Switzerland,Guillaume Daniellot,1954,31.43 Billion USD,STRAUMANN HOLDING AG
"",916,Germany,Hans Dieter Potsch,2007,31.39 Billion USD,PORSCHE AUTOMOBIL HOLDING SE
"","69,000",South Africa,Natascha Viljoen,1995,31.37 Billion USD,ANGLO AMERICAN PLATINUM
"","",China,"",2001,31.35 Billion USD,EVE ENERGY CO. LTD
"","152,050",France,"",1864,31.34 Billion USD,SOCIETE GENERALE
"","24,374",China,"",1984,31.27 Billion USD,SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY
"","245,472",Japan,Hiroya Masuda,2006,31.25 Billion USD,JAPAN POST HOLDINGS
"","10,753",USA,Jonathan M. Jaffe,1954,31.19 Billion USD,LENNAR CORPORATION
"","26,316",China,"",1993,31.19 Billion USD,LONGFOR GROUP HOLDINGS
"","6,200",Hong Kong,Zhang Zhichao,1979,31.15 Billion USD,CHINA OVERSEAS LAND AND INVESTMENT
"","10,540",Spain,Francisco Miguel Reynes Massanet,1843,31.14 Billion USD,NATURGY ENERGY GROUP
"","117,500",France,Florent Menegaux,1889,31.13 Billion USD,MICHELIN
"","36,726",France,Benoit Coquart,1860,31.08 Billion USD,LEGRAND SA
"","13,500",Switzerland,Dieter Weisskopf,1845,31.02 Billion USD,CHOCOLADEFABRIKEN LINDT & SPRUNGLI AG
"","11,678",USA,Vicki Hollub,1920,31.02 Billion USD,OCCIDENTAL PETROLEUM CORPORATION
"","138,036",Japan,Shuichi Ishibashi,1931,30.97 Billion USD,BRIDGESTONE CORPORATION
"","135,304",China,Stanley Ching,1979,30.95 Billion USD,CITIC
"","71,300",USA,James M. Loree,1843,30.86 Billion USD,STANLEY BLACK & DECKER
"","9,227",USA,Joseph R. Nolan Jr.,1966,30.83 Billion USD,EVERSOURCE ENERGY
"","4,181",China,"",2015,30.81 Billion USD,LI AUTO INC
"","65,017",China,"",1993,30.70 Billion USD,BOE TECHNOLOGY GROUP COMPANY
"","6,938",USA,Scott J. Lauber,1987,30.66 Billion USD,WEC ENERGY GROUP
"","7,235",India,C K Venkataraman,1984,30.62 Billion USD,TITAN COMPANY
2017,"5,030",USA,Todd McKinnon,2009,30.59 Billion USD,OKTA
"","15,500",Sweden,Johan Torgeby,1972,30.55 Billion USD,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL.)
"","7,238",Germany,Theodor Weimer,1992,30.35 Billion USD,DEUTSCHE BORSE
"","14,071",USA,John McAvoy,1823,30.31 Billion USD,CONSOLIDATED EDISON
"","56,811",China,"",1992,30.29 Billion USD,POLY DEVELOPMENTS AND HOLDINGS GROUP
"","9,372",USA,Devin W. Stockfish,1900,30.22 Billion USD,WEYERHAEUSER COMPANY
"","73,275",Japan,Shigetaka Komoris,1934,30.15 Billion USD,FUJIFILM HOLDINGS CORPORATION
"","367,321",UK,Ken Murphy,1919,30.12 Billion USD,TESCO
"","1,594",USA,Adam Foroughi,2012,30.11 Billion USD,APPLOVIN CORP
"","",China,"",2000,29.96 Billion USD,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION
"","78,300",India,Amitabh Chaudhry,1993,29.96 Billion USD,AXIS BANK
"","7,127",Japan,Aki Tomaru,2000,29.93 Billion USD,M3 Inc
"","",China,"",1997,29.86 Billion USD,SUNGROW POWER SUPPLY
"","1,340",India,Vneet S Jaain,2015,29.83 Billion USD,ADANI GREEN ENERGY
"","18,700",Sweden,Gerteric Lindquist,1949,29.79 Billion USD,NIBE INDUSTRIER AB (PUBL)
"","15,883",Japan,Yoshihiko Hatanaka,2005,29.74 Billion USD,ASTELLAS PHARMA
"","23,635",China,"",1995,29.70 Billion USD,TONGWEI
"","",Kazakhstan,Mikhail Lomtadze,1991,29.70 Billion USD,KASPI BANK JOINT STOCK COMPANY
"","13,189",Switzerland,Christian Mumenthaler,1863,29.68 Billion USD,SWISS RE
"","57,848",Taiwan,"",2001,29.56 Billion USD,CATHAY FINANCIAL HOLDING
"","84,512",Germany,Christian Sewing,1870,29.52 Billion USD,DEUTSCHE BANK
"","13,962",China,"",1995,29.42 Billion USD,RONGSHENG PETROCHEMICAL
"","12,558",USA,Thomas E. Long,1995,29.40 Billion USD,ENERGY TRANSFER LP
"","198,951",China,Jianjun Zhang,1949,29.37 Billion USD,PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA)
"","24,300",USA,John A Hayes,1880,29.32 Billion USD,BALL CORPORATION
"","26,438",Japan,"",1921,29.18 Billion USD,TERUMO CORPORATION
"","22,000",India,Ashish Dwivedi,1983,29.17 Billion USD,ULTRATECH CEMENT
"","52,488",South Korea,Song Ho-Sung,1944,29.02 Billion USD,KIA MOTORS CORPORATION
"","13,840",Sweden,Helena Hedblom,2018,29.02 Billion USD,EPIROC AB (PUBL)
"","2,096",Hong Kong,"",1862,28.99 Billion USD,HONG KONG AND CHINA GAS COMPANY
2004,"44,700",USA,Robert Glen Goldstein,1988,28.96 Billion USD,LAS VEGAS SANDS CORP
"","9,000",Australia,Scott Charlton,1996,28.95 Billion USD,TRANSURBAN GROUP
"","10,065",USA,Eric M. Green,1923,28.93 Billion USD,WEST PHARMACEUTICAL SERVICES
"","19,062",Switzerland,Urs Schaeppi,1998,28.91 Billion USD,SWISSCOM AG
"","46,600",UK,Carl Hess,2016,28.85 Billion USD,WILLIS TOWERS WATSON PUBLIC COMPANY
"","11,908",Switzerland,Christian Buhl,1874,28.74 Billion USD,GEBERIT AG
"","24,272",Indonesia,Ririek Adriansyah,1856,28.72 Billion USD,PT TELEKOMUNIKASI INDONESIA TBK
2017,"2,539",USA,Dev Ittycheria,2007,28.68 Billion USD,MONGODB
"","2,972",China,"",1995,28.64 Billion USD,CHONGQING ZHIFEI BIOLOGICAL PRODUCTS
"","19,169",Netherlands,Nancy McKinstry,1987,28.49 Billion USD,WOLTERS KLUWER
"","320,618",Mexico,Eduardo Padilla Silva,1936,28.48 Billion USD,FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA)
"","40,000",USA,Steve Rendle,1899,28.47 Billion USD,V.F. CORPORATION
1998,"4,742",USA,Andrew C. Florance,1987,28.39 Billion USD,COSTAR GROUP
1991,"9,800",USA,Anders Gustafsson,1969,28.37 Billion USD,ZEBRA TECHNOLOGIES CORPORATION
"","24,500",Canada,Paul A. Mahon,1891,28.25 Billion USD,GREAT-WEST LIFECO
"","142,150",France,Stephane Richard,1988,28.20 Billion USD,ORANGE S.A
2020,"26,000",USA,Jay Farner,1985,28.14 Billion USD,ROCKET COMPANIES
"","31,653",Japan,Yasuo Takeuchi,1919,28.09 Billion USD,OLYMPUS CORPORATION
"","29,378",Denmark,Henrik Andersen,1945,28.08 Billion USD,VESTAS WIND SYSTEMS A/S
"","66,674",Switzerland,Thomas Oetterli,1874,28.05 Billion USD,SCHINDLER HOLDING AG
"","5,054",Sweden,Martin Carlesund,2006,27.96 Billion USD,EVOLUTION GAMING GROUP AB (PUBL)
"","22,892",Singapore,Kuan Moon Yuen,1879,27.94 Billion USD,SINGAPORE TELECOMMUNICATIONS (SINGTEL)
"","93,300",USA,"",1977,"",MERCADONA
2004,"4,013",USA,Joseph Margolis,1977,27.91 Billion USD,EXTRA SPACE STORAGE
"","9,813",Finland,Torbjorn Magnusson,1909,27.89 Billion USD,SAMPO OYJ
"","139,677",Japan,Yo Honma,1978,27.86 Billion USD,NTT DATA CORPORATION
"","2,847",USA,Pierce H. Norton II,1906,27.85 Billion USD,ONEOK
"","33,300",USA,Hassane El-Khoury,1999,27.82 Billion USD,ON SEMICONDUCTOR CORPORATION
"","146,518",Japan,Takeshi Sugiyama,1921,27.73 Billion USD,MITSUBISHI ELECTRIC CORPORATION
"","42,000",USA,Steven H. Collis,1985,27.71 Billion USD,AMERISOURCEBERGEN CORPORATION
"","2,545",USA,Stewart Butterfield,2009,27.70 Billion USD,SLACK TECHNOLOGIES
"","2,413",Canada,Alex Pourbaix,2009,27.66 Billion USD,CENOVUS ENERGY
"","87,346",China,"",2001,27.62 Billion USD,GOERTEK
"","6,000",USA,J Kent Masters,1994,27.61 Billion USD,ALBEMARLE CORPORATION
"","11,912",USA,J. Thomas Hill,1909,27.59 Billion USD,VULCAN MATERIALS COMPANY
"","1,550",USA,Jack A Fusco,1996,27.52 Billion USD,CHENIERE ENERGY
"","15,000",Colombia,Felipe Bayon,1951,27.47 Billion USD,ECOPETROL
"","26,000",USA,Patricia K. Poppe,1905,27.47 Billion USD,PACIFIC GAS & ELECTRIC CORPORATION
"","11,216",China,"",2003,27.41 Billion USD,SHENZHEN INOVANCE TECHNOLOGY
"","5,500",China,"",2000,27.34 Billion USD,GANFENG LITHIUM
"","75,000",USA,Adam H Schechter,1978,27.30 Billion USD,LABORATORY CORPORATION OF AMERICA HOLDINGS
"","26,000",Ireland,Edmond Scanlon,1972,27.28 Billion USD,KERRY GROUP
"","209,000",France,"",1896,24.16 Billion USD,PEUGEOT
"","19,285",Taiwan,Stan Hung,1980,27.28 Billion USD,UNITED MICROELECTRONICS CORPORATION
"","14,800",USA,Peter M Kern,1996,27.26 Billion USD,EXPEDIA GROUP
"","85,700",China,"",2005,27.21 Billion USD,SHENZHOU INTERNATIONAL GROUP HOLDINGS
"","",China,"",1997,27.20 Billion USD,QINGHAI SALT LAKE INDUSTRY
"","7,082",USA,Patrick J Ottensmeyer,1887,27.20 Billion USD,KANSAS CITY SOUTHERN
"","43,293",Japan,Masatoshi Kimata,1890,27.15 Billion USD,KUBOTA CORPORATION
"","200,000",Canada,Galen G. Weston,1919,27.07 Billion USD,LOBLAW COMPANIES
"","46,316",China,Zhang Jinliang,1992,27.05 Billion USD,CHINA EVERBRIGHT BANK COMPANY
"","20,000",USA,Jim Snee,1891,27.05 Billion USD,HORMEL FOODS CORPORATION
"","",China,"",2014,"",WEBANK
"","311,269",Germany,Stephan Sturm,1912,27.03 Billion USD,FRESENIUS SE
1986,"26,400",USA,David T. Feinberg,1979,26.98 Billion USD,CERNER CORPORATION
"","14,802",Ireland,Peter Jackson,2016,26.93 Billion USD,FLUTTER ENTERTAINMENT
"","37,769",Saudi Arabia,Fahad bin Hussein Al-Sudairi,2000,26.93 Billion USD,SAUDI ELECTRICITY COMPANY
2013,"9,900",USA,Christine A Leahy,1984,26.93 Billion USD,CDW CORPORATION
"","25,000",USA,Michael G. O'Grady,1889,26.93 Billion USD,NORTHERN TRUST CORPORATION
"","",Taiwan,"",1968,26.91 Billion USD,EVERGREEN MARINE CORPORATION (TAIWAN)
2018,"5,630",USA,Dan Springer,2003,26.90 Billion USD,DOCUSIGN
"","84,000",Netherlands,Dolf van den Brink,1864,26.89 Billion USD,HEINEKEN HOLDING
"","9,372",China,"",1995,26.88 Billion USD,CHINA INTERNATIONAL CAPITAL CORPORATION
"","55,100",USA,Robert E Jordan,1967,26.84 Billion USD,SOUTHWEST AIRLINES
"","1,545",USA,John B. Hess,1933,26.83 Billion USD,HESS CORPORATION
"","1,900",USA,Greg Maffei,2014,26.77 Billion USD,LIBERTY BROADBAND CORPORATION
"","20,000",USA,Bryan C. Hanson,1927,26.77 Billion USD,ZIMMER BIOMET HOLDINGS
1994,"8,700",USA,C. Howard Nye,1949,26.77 Billion USD,MARTIN MARIETTA MATERIALS
"","5,800",Canada,Brad Corson,1880,26.73 Billion USD,IMPERIAL OIL
"","5,700",Qatar,"",2003,26.69 Billion USD,INDUSTRIES QATAR
"","26,920",Canada,Laurent Ferreira,1859,26.66 Billion USD,NATIONAL BANK OF CANADA
"","36,000",India,Kirti Ganorkar,1983,26.64 Billion USD,SUN PHARMACEUTICAL INDUSTRIES
"","80,000",Taiwan,Ping Zheng,1971,26.61 Billion USD,DELTA ELECTRONICS
"","30,000",India,"",2007,"",FLIPKART
"","52,323",China,"",2000,26.59 Billion USD,BAOSHAN IRON & STEEL
"","26,506",China,"",1999,26.58 Billion USD,HENGLI PETROCHEMICAL
"","259,385",Japan,Kazuhiro Tsuga,1918,26.57 Billion USD,PANASONIC CORPORATION
"","83,000",USA,Ed Bastian,1925,26.57 Billion USD,DELTA AIR LINES
"","19,498",Germany,Markus Krebber,1898,26.49 Billion USD,RWE
"","30,105",India,Subhash Kumar,1956,26.47 Billion USD,ONGC
"","2,100",Poland,"",1999,23.31 Billion USD,ALLEGRO
"","33,200",UK,Damian Paul Gammell,2016,26.44 Billion USD,COCA-COLA EUROPACIFIC PARTNERS PLC
1998,902,USA,D. James Bidzos,1995,26.40 Billion USD,VERISIGN
2014,"18,000",USA,Brian D. Doubles,2003,26.38 Billion USD,SYNCHRONY FINANCIAL
"","23,000",USA,Richard J. Tobin,1955,26.34 Billion USD,DOVER CORPORATION
"","",China,"","","",JD DIGITS
"","",India,Suresh Manglani,2004,26.34 Billion USD,ADANI TOTAL GAS LIMITED
1997,"15,016",Ireland,Michael O'Leary,1984,26.29 Billion USD,RYANAIR HOLDINGS
"","8,000",Saudi Arabia,Mosaed Al Ohali,1997,26.29 Billion USD,SAUDI ARABIAN MINING COMPANY (MA'ADEN)
2001,"2,675",USA,Clay B Siegall,1997,26.28 Billion USD,SEAGEN
"","19,933",Finland,Markus Rauramo,1998,26.20 Billion USD,FORTUM OYJ
"","66,478",Japan,Hisahiro Koketsu,1926,26.10 Billion USD,TOYOTA INDUSTRIES CORPORATION
"","",China,"",2009,26.09 Billion USD,SMOORE INTERNATIONAL HOLDINGS
"","11,980",India,"",2015,26.06 Billion USD,ADANI TRANSMISSIONS
"","22,700",USA,Donald G. Macpherson,1927,26.05 Billion USD,W.W. GRAINGER
"","383,233",France,Daniel Julien,1978,26.04 Billion USD,TELEPERFORMANCE SE
"","172,907",Hong Kong,Mr. Li,2014,26.03 Billion USD,CK HUTCHISON HOLDINGS
"","10,500",USA,Michael Rapino,1996,26.03 Billion USD,LIVE NATION ENTERTAINMENT
"","7,230",Thailand,"",1979,25.99 Billion USD,AIRPORTS OF THAILAND
1994,"46,000",USA,Hal Lawton,1938,25.99 Billion USD,TRACTOR SUPPLY COMPANY
"","2,653",Switzerland,Magdalena Martullo-Blocher,1936,25.92 Billion USD,EMS-CHEMIE HOLDING AG
"","1,800",Australia,"",2000,25.90 Billion USD,APA GROUP
"","5,100",USA,Matthew Farrell,1846,25.90 Billion USD,CHURCH & DWIGHT
"","171,450",France,Antoine Frerot,1853,25.90 Billion USD,VEOLIA ENVIRONNEMENT
2016,"18,000",USA,Jim Lico,2016,25.80 Billion USD,FORTIVE CORPORATION
"","5,900",USA,Mark E Jagiela,1960,25.80 Billion USD,TERADYNE
"","7,600",India,Suresh Narayanan,1959,25.74 Billion USD,NESTLE INDIA
"","154,000",Canada,Seetarama Kotagiri,1957,25.73 Billion USD,MAGNA INTERNATIONAL
"","164,177",China,"",2015,25.71 Billion USD,CRRC CORPORATION
"","14,000",USA,Lawrence E. Kurzius,1889,25.68 Billion USD,MCCORMICK & COMPANY
"","59,262",China,Zheng Wanchun,1996,25.65 Billion USD,CHINA MINSHENG BANKING
2017,"1,240",USA,Dallas B. Tanner,2012,25.61 Billion USD,INVITATION HOMES
"","30,000",USA,Arnold W. Donald,1972,25.53 Billion USD,CARNIVAL CORPORATION
"","11,300",USA,Liam Griffin,2002,25.50 Billion USD,SKYWORKS SOLUTIONS
"","27,318",Japan,Masaaki Tanaka,1881,25.48 Billion USD,NIPPON PAINT HOLDINGS
"","3,625",China,"",1989,25.46 Billion USD,LI NING COMPANY
"","25,377",Japan,Fujio Mitarai,1937,25.38 Billion USD,CANON
"","33,153",Japan,Makoto Inoue,1964,25.38 Billion USD,ORIX CORPORATION
1988,"114,042",Spain,Jose Maria Alvarez-Pallete Lopez,1924,25.32 Billion USD,TELEFONICA SA
"","7,959",Hong Kong,"",1901,25.31 Billion USD,CLP HOLDINGS
2000,"18,700",USA,Clifton A. Pemble,1989,25.19 Billion USD,GARMIN
"","29,603",Japan,Hiroto Takeuchi,1987,25.18 Billion USD,CENTRAL JAPAN RAILWAY COMPANY
"","16,665",Japan,Takahisa Takahara,1961,25.16 Billion USD,UNICHARM CORPORATION
"",529,Japan,"",1962,25.15 Billion USD,LASERTEC CORPORATION
"","15,500",Ireland,"",1966,25.07 Billion USD,KINGSPAN GROUP
"","2,042",India,"",1988,25.06 Billion USD,ADANI ENTERPRISES
"","38,000",Hong Kong,"",1996,24.97 Billion USD,GEELY AUTOMOBILE HOLDINGS
"","13,876",UK,Nigel Wilson,1836,24.97 Billion USD,LEGAL & GENERAL GROUP
1994,"2,429",USA,H Eric Bolton Jr,1977,24.92 Billion USD,MID-AMERICA APARTMENT COMMUNITIES
"","25,693",USA,Stephen D Steinour,1866,24.91 Billion USD,HUNTINGTON BANCSHARES
"","27,000",Hong Kong,"",1992,24.87 Billion USD,CHINA RESOURCES BEER (HOLDINGS) COMPANY
"","11,697",Taiwan,"",1958,24.83 Billion USD,NAN YA PLASTICS CORPORATION
"","5,590",USA,Jennifer C. Witz,2008,24.80 Billion USD,SIRIUS XM HOLDINGS
"","7,000",Brazil,Fabio Schvartsman,1899,24.77 Billion USD,KLABIN
2002,"40,000",USA,Dave Mosley,1979,24.70 Billion USD,SEAGATE TECHNOLOGY
"","13,003",USA,Pedro J. Pizarro,1886,24.69 Billion USD,EDISON INTERNATIONAL
"","23,500",Canada,Tony Staffieri,1960,24.67 Billion USD,ROGERS COMMUNICATIONS
"","102,000",USA,Corie Barry,1966,24.66 Billion USD,BEST BUY
1993,"16,600",USA,Eugene A. Hall,1979,24.62 Billion USD,GARTNER
"","8,771",Spain,Maurici Lucena Betriu,2010,24.61 Billion USD,AENA S.M.E
"","",China,"",1993,24.57 Billion USD,SANAN OPTOELECTRONICS
"","18,500",USA,Christopher J. Swift,1810,24.53 Billion USD,HARTFORD FINANCIAL SERVICES GROUP
"","18,180",USA,Beth E. Mooney,1825,24.53 Billion USD,KEYCORP
"","33,603",Japan,Yoshihiro Hasebe,1887,24.51 Billion USD,KAO CORPORATION
"","40,010",Denmark,Cees 't Hart,1847,24.43 Billion USD,CARLSBERG A/S
"","119,658",China,"",2001,24.42 Billion USD,KE HOLDINGS INC.
"","12,244",Japan,Yozo Shimano,1921,24.40 Billion USD,SHIMANO
"","48,770",Switzerland,Thomas Gottstein,1856,24.38 Billion USD,CREDIT SUISSE GROUP
"","1,414",Australia,Susan Lloyd-Hurwitz,1972,24.37 Billion USD,MIRVAC GROUP
"",38,Canada,Paul J. Brink,2007,24.34 Billion USD,FRANCO-NEVADA CORPORATION
"","12,307",China,"",1991,24.32 Billion USD,GF SECURITIES
"","2,900",Taiwan,"",1954,24.31 Billion USD,FORMOSA PLASTICS CORPORATION
"","22,000",Germany,Niklas Oestberg,2011,24.27 Billion USD,DELIVERY HERO SE
2017,"3,000",USA,Anthony Wood,2002,24.24 Billion USD,ROKU
"","94,000",Switzerland,Frankie Ng,1878,24.21 Billion USD,SGS SA
"","",Sweden,Johan Hjertonsson,1984,24.17 Billion USD,INVESTMENT AB LATOUR (PUBL)
"","15,900",Ireland,Vicente Reynal,1871,24.17 Billion USD,INGERSOLL-RAND (IRELAND)
"","7,500",USA,"","","",CAPITAL GROUP
"","",China,"",2001,24.16 Billion USD,NAURA TECHNOLOGY GROUP
"","22,467",China,"",1993,24.16 Billion USD,WINGTECH TECHNOLOGY
"","45,000",Malaysia,Abdul Farid Alias,1960,24.11 Billion USD,MALAYAN BANKING BERHAD
2014,"5,895",USA,Yamini Rangan,2006,24.08 Billion USD,HubSpot
"","36,597",Spain,Gonzalo Gortazar Rotaeche,2011,24.07 Billion USD,CAIXABANK
"","90,500",UK,"",1999,24.02 Billion USD,BAE SYSTEMS
"","19,406",USA,John M. Turner Jr.,1971,23.95 Billion USD,REGIONS FINANCIAL CORPORATION
"","",China,"",1961,23.91 Billion USD,CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH
"","20,962",Japan,Hidetoshi Shibata,2002,23.78 Billion USD,RENESAS ELECTRONICS CORPORATION
"",736,Japan,"",2010,23.77 Billion USD,DAI-ICHI LIFE HOLDINGS
"","99,700",UK,Philip Jansen,1980,23.73 Billion USD,BT GROUP
"",781,Denmark,Jan G. J. van de Winkel,1999,23.70 Billion USD,GENMAB A/S
"","3,073",Germany,"",1966,23.68 Billion USD,HANNOVER RUCK SE
"","12,489",UK,Alistair Phillips-Davies,1998,23.67 Billion USD,SSE PLC
"","61,564",Japan,Hiroyuki Ogawa,1921,23.64 Billion USD,KOMATSU
"","12,395",USA,Steven E. Strah,1997,23.61 Billion USD,FIRSTENERGY
1997,"20,400",USA,Matthew John Flannery,1997,23.60 Billion USD,UNITED RENTALS
"","6,970",Kuwait,Isam Jasem Al Sager,1952,23.56 Billion USD,NATIONAL BANK OF KUWAIT
"","",UK,"",1909,23.53 Billion USD,SCOTTISH MORTGAGE INVESTMENT TRUST
"","13,000",Ireland,Dan Carestio,1985,23.49 Billion USD,STERIS
2015,"1,400",USA,Josh Silverman,2005,23.47 Billion USD,ETSY
"","",China,"","",23.47 Billion USD,AECC AVIATION POWER
"","9,591",Spain,Jose D. Bogas Galvez,1944,23.40 Billion USD,ENDESA
"","23,293",Germany,Frank Mastiaux,1997,23.39 Billion USD,ENBW ENERGIE BADEN-WURTTEMBERG AG
