country,industry,market_capitalization_USD,name,sector,stock
Germany,Utilities—Diversified,25820000000,EnBW Energie Baden-Wuerttemberg AG,Utilities,EBK
United States,Insurance—Diversified,25760000000,"The Hartford Financial Services Group, Inc.",Financials,HIG
United States,Diagnostics & Research,25750000000,Laboratory Corporation of America Holdings,Healthcare,LH
United States,Software—Infrastructure,25730000000,"MongoDB, Inc.",Technology,MDB
Japan,Electrical Equipment & Parts,25610000000,Mitsubishi Electric Corporation,Industrials,6503
Brazil,Banks,25590000000,Banco Santander (Brasil) SA,Financials,SANB11
India,Banks,25540000000,Axis Bank Ltd,Financials,AXISBANK
United States,Rental & Leasing Services,25460000000,"United Rentals, Inc.",Industrials,URI
Taiwan,Specialty Chemicals,25410000000,Nan Ya Plastics Corp,Basic Materials,1303
United States,Residential Construction,25340000000,Lennar Corporation,Consumer Discretionary,LEN
Switzerland,Medical Instruments & Supplies,25310000000,Straumann Holding AG,Healthcare,STMN
Hong Kong,Utilities—Regulated Electric,25290000000,CLP Holdings Ltd,Utilities,0002
China,Thermal Coal,25260000000,Yanzhou Coal Mining Company Ltd,Energy,600188
United States,Utilities—Diversified,25260000000,FirstEnergy Corp.,Utilities,FE
United States,Specialty Chemicals,25250000000,Albemarle Corporation,Basic Materials,ALB
Hong Kong,Real Estate—Development,25210000000,CK Asset Holdings Limited,Real Estate,1113
United States,Solar,25200000000,"Enphase Energy, Inc.",Technology,ENPH
France,Specialty Industrial Machinery,25190000000,Legrand SA,Industrials,LR
Hong Kong,Resorts & Casinos,25170000000,Galaxy Entertainment Group Ltd,Consumer Discretionary,0027
Sweden,Banks,25150000000,Skandinaviska Enskilda Banken AB,Financials,SEB.A
United States,Agricultural Inputs,25090000000,The Mosaic Company,Basic Materials,MOS
United States,Information Technology Services,25040000000,CDW Corporation,Technology,CDW
United States,Information Technology Services,25030000000,"Gartner, Inc.",Technology,IT
Spain,Utilities—Renewable,25010000000,"EDP Renováveis, SA",Utilities,EDPR
United States,Airlines,24920000000,"Delta Air Lines, Inc.",Industrials,DAL
United States,Software—Infrastructure,24910000000,Palantir Technologies Inc.,Technology,PLTR
United States,Biotechnology,24870000000,Seagen Inc.,Healthcare,SGEN
United States,Oil & Gas E&P,24840000000,"Diamondback Energy, Inc.",Energy,FANG
United States,Software—Infrastructure,24810000000,"VeriSign, Inc.",Technology,VRSN
United States,Household & Personal Products,24810000000,"Church & Dwight Co., Inc.",Consumer Staples,CHD
United States,Utilities—Regulated Electric,24790000000,Ameren Corporation,Utilities,AEE
China,Banks,24650000000,China Minsheng Banking Corp Ltd,Financials,600016
United States,Entertainment,24610000000,"Live Nation Entertainment, Inc.",Communication Services,LYV
Australia,Oil & Gas E&P,24600000000,Woodside Petroleum Ltd,Energy,WPL
Taiwan,Marine Shipping,24490000000,Evergreen Marine Corp,Industrials,2603
Spain,Airports & Air Services,24450000000,"Aena S.M.E., SA",Industrials,AENA
China,Auto Manufacturers,24440000000,XPeng Inc.,Consumer Discretionary,XPEV
United States,Asset Management,24420000000,Northern Trust Corporation,Financials,NTRS
United States,Software—Application,24300000000,"Slack Technologies, Inc.",Technology,WORK
United States,REIT—Residential,24180000000,"Mid-America Apartment Communities, Inc.",Real Estate,MAA
Germany,Medical Care Facilities,24120000000,Fresenius SE & Co KGaA,Healthcare,FRE
Japan,Business Equipment & Supplies,24120000000,FUJIFILM Holdings Corp,Industrials,4901
United Kingdom,Telecom Services,24090000000,BT Group plc,Communication Services,BT.A
United States,Building Materials,24080000000,Vulcan Materials Company,Basic Materials,VMC
Sweden,Farm & Heavy Construction Machinery,24080000000,Epiroc AB,Industrials,3AD2
Taiwan,Electronic Components,24050000000,"Delta Electronics, Inc.",Technology,2308
Russia,Gold,24020000000,Public Joint Stock Company Polyus,Basic Materials,PLZL
Switzerland,Specialty Industrial Machinery,24020000000,Schindler Holding AG,Industrials,SCHN
Japan,Credit Services,23970000000,ORIX Corporation,Financials,8591
United States,Building Materials,23940000000,"Martin Marietta Materials, Inc.",Basic Materials,MLM
China,Capital Markets,23940000000,CSC Financial Co. Ltd,Financials,601066
United States,Specialty Retail,23930000000,"Best Buy Co., Inc.",Consumer Discretionary,BBY
Ireland,Medical Instruments & Supplies,23930000000,STERIS plc,Healthcare,STE
United States,Utilities—Diversified,23920000000,Entergy Corporation,Utilities,ETR
Japan,Health Information Services,23890000000,"M3, Inc.",Healthcare,2413
United States,Software—Infrastructure,23840000000,Splunk Inc.,Technology,SPLK
China,Electrical Equipment & Parts,23820000000,EVE Energy Co. Ltd,Industrials,300014
United States,REIT—Healthcare Facilities,23810000000,"Ventas, Inc.",Real Estate,VTR
Spain,Utilities—Regulated Electric,23780000000,"Endesa, SA",Utilities,ELE
United Kingdom,Utilities—Diversified,23730000000,SSE plc,Utilities,SSE
France,Auto Parts,23650000000,Compagnie Générale des Etablissements Michelin SCA,Consumer Discretionary,ML
Ireland,Drug Manufacturers—General,23640000000,Horizon Therapeutics Public Limited Company,Healthcare,HZNP
China,Steel,23590000000,Baoshan Iron & Steel Co. Ltd,Basic Materials,600019
United States,Tools & Accessories,23570000000,"Stanley Black & Decker, Inc.",Industrials,SWK
China,Electrical Equipment & Parts,23550000000,Sungrow Power Supply Co. Ltd,Industrials,300274
Germany,Household & Personal Products,23510000000,Beiersdorf AG,Consumer Staples,BEI
Indonesia,Banks,23510000000,PT Bank Mandiri (Persero) Tbk,Financials,PQ9
Canada,Copper,23470000000,First Quantum Minerals Ltd.,Basic Materials,FM
Japan,Farm & Heavy Construction Machinery,23460000000,Kubota Corp,Industrials,6326
South Africa,Telecom Services,23450000000,MTN Group Ltd,Communication Services,MTN
United States,Semiconductors,23440000000,"Maxim Integrated Products, Inc.",Technology,MXIM
United States,Mortgage Finance,23440000000,"Rocket Companies, Inc.",Financials,RKT
Canada,Utilities—Regulated Electric,23430000000,Fortis Inc.,Utilities,FTS
Taiwan,Specialty Chemicals,23420000000,Formosa Plastics Corp,Basic Materials,1301
United States,Entertainment,23400000000,Liberty Broadband Corporation,Communication Services,LBRDK
Taiwan,Semiconductors,23350000000,United Microelectronics Corporation,Technology,2303
Switzerland,Scientific & Technical Instruments,23350000000,Garmin Ltd.,Technology,GRMN
China,Lodging,23340000000,Huazhu Group Limited,Consumer Discretionary,HTHT
United States,Travel Services,23290000000,Carnival Corporation & plc,Consumer Discretionary,CCL
China,Farm & Heavy Construction Machinery,23270000000,Sany Heavy Industry Co. Ltd,Industrials,600031
United States,Broadcasting,23260000000,Fox Corporation,Communication Services,FOXA
China,Farm Products,23200000000,Wens Foodstuff Group Co. Ltd,Consumer Staples,300498
France,Banks,23180000000,Société Générale SA,Financials,GLE
Japan,Medical Instruments & Supplies,23160000000,Terumo Corp,Healthcare,4543
China,Capital Markets,23130000000,China International Capital Corp Ltd,Financials,601995
United States,REIT—Residential,23090000000,Invitation Homes Inc.,Real Estate,INVH
United States,Biotechnology,23040000000,Royalty Pharma plc,Healthcare,RPRX
Japan,Medical Instruments & Supplies,23000000000,Olympus Corp,Healthcare,7733
United States,Apparel Manufacturing,22960000000,V.F. Corporation,Consumer Discretionary,VFC
United States,Specialty Industrial Machinery,22940000000,Dover Corporation,Industrials,DOV
United States,Utilities—Regulated Electric,22870000000,PPL Corporation,Utilities,PPL
China,Textile Manufacturing,22860000000,"Hengli Petrochemical Co.,Ltd.",Consumer Discretionary,600346
Denmark,Biotechnology,22830000000,Genmab A/S,Healthcare,GMAB
Saudi Arabia,Agricultural Inputs,22780000000,SABIC Agri-Nutrients Company,Basic Materials,2020
Netherlands,Beverages—Brewers,22780000000,Heineken Holding N.V.,Consumer Staples,HEIO
Japan,Railroads,22780000000,East Japan Railway Company,Industrials,9020
Chile,Chemicals,22770000000,Sociedad Química y Minera de Chile SA,Basic Materials,SQM
Luxembourg,Diagnostics & Research,22750000000,Eurofins Scientific SE,Healthcare,ERF
Japan,Consumer Electronics,22730000000,Panasonic Corp,Technology,6752
Belgium,Biotechnology,22710000000,UCB SA,Healthcare,UCB
China,Marine Shipping,22650000000,Shanghai International Port,Industrials,600018
United States,Communication Equipment,22650000000,Hewlett Packard Enterprise Company,Technology,HPE
United States,Packaged Foods,22630000000,Kellogg Company,Consumer Staples,K
China,Insurance—Property & Casualty,22620000000,PICC Property and Casualty Company Ltd,Financials,2328
Mexico,Banks,22600000000,Grupo Financiero Banorte SAB de CV,Financials,GFNORTEO
Japan,Farm & Heavy Construction Machinery,22560000000,Komatsu Ltd,Industrials,6301
Hong Kong,Utilities—Regulated Gas,22540000000,The Hong Kong and China Gas Company Ltd,Utilities,0003
United Kingdom,Beverages—Non-Alcoholic,22530000000,Coca-Cola Europacific Partners plc,Consumer Staples,CCEP
United States,REIT—Residential,22510000000,"Essex Property Trust, Inc.",Real Estate,ESS
Switzerland,Specialty Chemicals,22480000000,EMS-CHEMIE HOLDING AG,Basic Materials,EMSN
United States,Software—Infrastructure,22450000000,"Okta, Inc.",Technology,OKTA
China,Utilities—Independent Power Producers,22420000000,China National Nuclear Power Co. Ltd,Utilities,601985
Japan,Conglomerates,22420000000,Sumitomo Corp,Industrials,8053
India,Auto Manufacturers,22380000000,Tata Motors Limited,Consumer Discretionary,TTM
Brazil,Banks,22360000000,Banco do Brasil SA,Financials,BBAS3
Sweden,Apparel Manufacturing,22330000000,Hennes & Mauritz AB,Consumer Discretionary,HM.B
United States,Medical Devices,22320000000,"Bio-Rad Laboratories, Inc.",Healthcare,BIO
France,Consulting Services,22300000000,Teleperformance SE,Industrials,TEP
Mexico,Beverages—Brewers,22280000000,"Fomento Económico Mexicano, S.A.B. de C.V.",Consumer Staples,FEMSAUB
United States,Banks,22260000000,"Huntington Bancshares, Inc.",Financials,HU3
United States,Oil & Gas E&P,22250000000,"Continental Resources, Inc.",Energy,CLR
China,Railroads,22210000000,CRRC Corp Ltd,Industrials,601766
United States,Semiconductors,22170000000,"Skyworks Solutions, Inc.",Technology,SWKS
Brazil,Capital Markets,22160000000,XP Inc.,Financials,XPBR31
Japan,Household & Personal Products,22080000000,Unicharm Corp,Consumer Staples,8113
China,Integrated Freight & Logistics,22050000000,ZTO Express (Cayman) Inc.,Industrials,ZTO
Switzerland,Building Products & Equipment,22030000000,Geberit AG,Industrials,GEBN
Japan,Auto Manufacturers,21990000000,Toyota Industries Corp,Consumer Discretionary,6201
United States,Insurance—Property & Casualty,21990000000,Cincinnati Financial Corporation,Financials,CINF
United States,Agricultural Inputs,21950000000,"CF Industries Holdings, Inc.",Basic Materials,CF
Sweden,Building Products & Equipment,21930000000,NIBE Industrier AB,Industrials,NJB
United Kingdom,Farm & Heavy Construction Machinery,21930000000,CNH Industrial N.V.,Industrials,CNHI
United States,Banks,21930000000,Huntington Bancshares Incorporated,Financials,HBAN
United States,REIT—Industrial,21930000000,Duke Realty Corporation,Real Estate,DRE
Canada,Restaurants,21890000000,Restaurant Brands International Limited Partnership,Consumer Discretionary,QSP.UN
United States,Semiconductors,21870000000,"Monolithic Power Systems, Inc.",Technology,MPWR
United States,Communication Equipment,21870000000,Zebra Technologies Corporation,Technology,ZBRA
United States,Specialty Retail,21820000000,"Ulta Beauty, Inc.",Consumer Discretionary,ULTA
Japan,Insurance—Life,21760000000,"Dai-ichi Life Holdings, Inc.",Financials,8750
United States,Banks,21740000000,M&T Bank Corporation,Financials,MTB
United States,Banks,21710000000,KeyCorp,Financials,KEY
United States,Scientific & Technical Instruments,21650000000,Teledyne Technologies Incorporated,Technology,TDY
Brazil,Financial Data & Stock Exchanges,21580000000,"B3 S.A. - Brasil, Bolsa, Balcao",Financials,B3SA3
United States,Thermal Coal,21570000000,"Contura Energy, Inc.",Energy,CTRA
Japan,Leisure,21510000000,"Shimano, Inc.",Consumer Discretionary,7309
Canada,Insurance—Life,21480000000,Power Corporation of Canada,Financials,POW
United States,Integrated Freight & Logistics,21480000000,"J.B. Hunt Transport Services, Inc.",Industrials,JBHT
Japan,Real Estate—Diversified,21460000000,Mitsui Fudosan Co. Ltd,Real Estate,8801
Saudi Arabia,Banks,21450000000,The Saudi British Bank,Financials,1060
Switzerland,Consulting Services,21430000000,SGS SA,Industrials,SGSN
Canada,Other Industrial Metals & Mining,21410000000,Teck Resources Limited,Basic Materials,TECK.B
Brazil,Medical Care Facilities,21400000000,Rede D'Or São Luiz SA,Healthcare,RDOR3
Japan,Electronic Gaming & Multimedia,21360000000,NEXON Co. Ltd,Communication Services,3659
United States,Medical Instruments & Supplies,21350000000,"The Cooper Companies, Inc.",Healthcare,COO
United Kingdom,Insurance—Life,21340000000,Legal & General Group plc,Financials,LGEN
United States,Banks,21320000000,Regions Financial Corporation,Financials,RF
Canada,Gold,21260000000,Wheaton Precious Metals Corp.,Basic Materials,WPM
United States,Software—Application,21230000000,ZoomInfo Technologies Inc.,Technology,ZI
United States,Entertainment,21220000000,ViacomCBS Inc.,Communication Services,VIACA
China,Other Industrial Metals & Mining,21210000000,China Northern Rare Earth,Basic Materials,600111
Ireland,Computer Hardware,21210000000,Seagate Technology plc,Technology,STX
Hong Kong,Packaged Foods,21170000000,China Mengniu Dairy Co Ltd,Consumer Staples,2319
United States,Specialty Industrial Machinery,21130000000,Ingersoll Rand Inc.,Industrials,IR
United Kingdom,REIT—Industrial,21080000000,SEGRO plc,Real Estate,SGRO
Netherlands,Internet Content & Information,21050000000,Yandex N.V.,Communication Services,YNDX
United States,Semiconductors,21030000000,Microchip Technology Incorporated,Technology,MCHP
United States,Software—Application,20930000000,"HubSpot, Inc.",Technology,HUBS
United States,Information Technology Services,20920000000,"FLEETCOR Technologies, Inc.",Technology,FLT
United States,Scientific & Technical Instruments,20880000000,Fortive Corporation,Technology,FTV
United States,Software—Application,20860000000,AppLovin Corp,Technology,APP
United States,Travel Services,20810000000,Royal Caribbean Cruises Ltd.,Consumer Discretionary,RCL
Spain,Oil & Gas Integrated,20800000000,Repsol SA,Energy,REP
Japan,Conglomerates,20780000000,Marubeni Corp,Industrials,8002
United Kingdom,Banks,20780000000,Standard Chartered plc,Financials,STAN
China,Leisure,20750000000,Li Ning Co Ltd,Consumer Discretionary,2331
United States,Utilities—Regulated Electric,20730000000,CMS Energy Corporation,Utilities,CMS
United States,Medical Devices,20660000000,STERIS Corp,Healthcare,S1TE34
Thailand,Telecom Services,20650000000,Advanced Info Service PCL,Communication Services,ADVANC
Japan,Consumer Electronics,20620000000,Kyocera Corp,Technology,6971
Canada,Oil & Gas Midstream,20610000000,Pembina Pipeline Corporation,Energy,PPL
Ireland,Gambling,20580000000,Flutter Entertainment plc,Consumer Discretionary,FLTR
Japan,Conglomerates,20550000000,Sojitz Corp,Industrials,2768
United States,REIT—Office,20540000000,"Boston Properties, Inc.",Real Estate,BXP
United States,Credit Services,20430000000,Synchrony Financial,Financials,SYF
Saudi Arabia,Banks,20410000000,Alinma Bank,Financials,1150
Sweden,Asset Management,20390000000,Investment AB Latour,Financials,LATO.B
Japan,Real Estate—Diversified,20390000000,Mitsubishi Estate Co. Ltd,Real Estate,8802
China,Capital Markets,20390000000,Guotai Junan Securities Co. Ltd,Financials,601211
Japan,Specialty Chemicals,20380000000,Nippon Paint Holdings Co. Ltd,Basic Materials,4612
United States,Internet Retail,20330000000,Carvana Co.,Consumer Discretionary,CVNA
United States,Insurance—Property & Casualty,20300000000,Markel Corporation,Financials,MKL
United States,Insurance Brokers,20270000000,"Brown & Brown, Inc.",Financials,BRO
Japan,Information Technology Services,20260000000,Nomura Research Institute Ltd,Technology,4307
United States,Resorts & Casinos,20220000000,MGM Resorts International,Consumer Discretionary,MGM
Taiwan,Banks,20210000000,Mega Financial Holding Co. Ltd,Financials,2886
Brazil,Telecom Services,20190000000,Telefônica Brasil SA,Communication Services,VIV
Switzerland,Insurance—Diversified,20160000000,Swiss Life Holding AG,Financials,SLHN
Norway,Telecom Services,20150000000,Telenor ASA,Communication Services,TEL
Hong Kong,Engineering & Construction,20150000000,China Railway Group Ltd,Industrials,0390
Taiwan,Insurance—Life,20150000000,CTBC Financial Holding Co. Ltd,Financials,2891
United Kingdom,Tobacco,20140000000,Imperial Brands plc,Consumer Staples,IMB
United States,Insurance—Diversified,20130000000,"Principal Financial Group, Inc.",Financials,PFG
Norway,Aluminum,20100000000,Norsk Hydro ASA,Basic Materials,NHY
United States,Diagnostics & Research,20050000000,"PerkinElmer, Inc.",Healthcare,PKI
Germany,Insurance—Reinsurance,20020000000,Hannover Rück SE,Financials,HNRB
United States,REIT—Residential,19980000000,"Sun Communities, Inc.",Real Estate,SUI
United States,Capital Markets,19980000000,Tradeweb Markets Inc.,Financials,TW
China,Solar,19940000000,Trina Solar Co. Ltd,Technology,688599
India,Other Industrial Metals & Mining,19930000000,Vedanta Limited,Basic Materials,VEDL
United States,Software—Application,19870000000,"Paycom Software, Inc.",Technology,PAYC
Brazil,Paper & Paper Products,19860000000,Klabin SA,Basic Materials,KLBN11
Japan,Household & Personal Products,19850000000,Kao Corp,Consumer Staples,4452
United States,Semiconductor Equipment & Materials,19850000000,"Teradyne, Inc.",Technology,TER
Hong Kong,Beverages—Brewers,19840000000,China Resources Beer (Holdings) Company Ltd,Consumer Staples,0291
China,Engineering & Construction,19830000000,China Communications Construction Co Ltd,Industrials,601800
United Kingdom,Insurance—Diversified,19820000000,Aviva plc,Financials,AV.
South Africa,Banks,19820000000,Standard Bank Group Ltd,Financials,SBK
Ireland,Airlines,19780000000,Ryanair Holdings plc,Industrials,RY4C
United States,Medical Instruments & Supplies,19750000000,"Hologic, Inc.",Healthcare,HOLX
Ireland,Packaged Foods,19740000000,Kerry Group plc,Consumer Staples,KRZ
Japan,Semiconductors,19730000000,Renesas Electronics Corp,Technology,6723
Bermuda,Utilities—Diversified,19700000000,Brookfield Infrastructure Partners L.P.,Utilities,BIP.UN
Japan,Household & Personal Products,19690000000,Shiseido Co Ltd,Consumer Staples,4911
Canada,Information Technology Services,19670000000,CGI Inc.,Technology,GIB.A
Hong Kong,Real Estate Services,19670000000,Henderson Land Development Co Ltd,Real Estate,0012
United States,Software—Application,19650000000,"Bill.com Holdings, Inc.",Technology,BILL
China,Drug Manufacturers—Specialty & Generic,19630000000,Shanghai Fosun Pharmaceutical,Healthcare,600196
United States,Software—Infrastructure,19590000000,"Akamai Technologies, Inc.",Technology,AKAM
China,Telecom Services,19550000000,China Tower Corp Ltd,Communication Services,0788
China,Capital Markets,19550000000,"Huatai Securities Co., Ltd.",Financials,601688
United States,Oil & Gas E&P,19540000000,Marathon Oil Corporation,Energy,MRO
Bermuda,Insurance—Diversified,19540000000,Arch Capital Group Ltd.,Financials,ACGL
United States,Consulting Services,19530000000,TransUnion,Industrials,TRU
Brazil,Packaged Foods,19530000000,JBS SA,Consumer Staples,JBSS3
Hong Kong,Textile Manufacturing,19500000000,Shenzhou International Group Holdings Ltd,Consumer Discretionary,2313
United States,Specialty Chemicals,19480000000,"Avantor, Inc.",Basic Materials,AVTR
United States,Healthcare Plans,19460000000,"Molina Healthcare, Inc.",Healthcare,MOH
Spain,Infrastructure Operations,19440000000,"Ferrovial, SA",Industrials,FER
Portugal,Utilities—Diversified,19430000000,EDP - Energias de Portugal SA,Utilities,EDP
Germany,Medical Care Facilities,19420000000,Fresenius Medical Care AG & Co. KGaA,Healthcare,FME
Sweden,Banks,19420000000,Svenska Handelsbanken AB,Financials,SHB.A
South Korea,Banks,19390000000,KB Financial Group Inc.,Financials,105560
Canada,Auto Parts,19360000000,Magna International Inc.,Consumer Discretionary,MG
Italy,Utilities—Regulated Gas,19270000000,Snam S.p.A.,Utilities,SRG
China,Utilities—Independent Power Producers,19250000000,CGN Power Co. Ltd,Utilities,003816
United Kingdom,Specialty Chemicals,19220000000,Croda International plc,Basic Materials,CRDA
United States,Entertainment,19210000000,Warner Music Group Corp.,Communication Services,WMG
China,Other Industrial Metals & Mining,19200000000,Zhejiang Huayou Cobalt Co. Ltd,Basic Materials,603799
United States,Software—Application,19150000000,"SS&C Technologies Holdings, Inc.",Technology,SSNC
Denmark,Beverages—Brewers,19120000000,Carlsberg A-S,Consumer Staples,CARL.A
Israel,Software—Application,19120000000,NICE Ltd.,Technology,NICE
United States,Diagnostics & Research,19110000000,Waters Corporation,Healthcare,WAT
Japan,Drug Manufacturers—General,19030000000,Otsuka Holdings Co. Ltd,Healthcare,4578
Luxembourg,Oil & Gas Equipment & Services,18980000000,Tenaris SA,Energy,TEN
United States,Banks,18950000000,"Citizens Financial Group, Inc.",Financials,CFG
Israel,Software—Infrastructure,18940000000,Check Point Software Technologies Ltd.,Technology,CHKP
Japan,Specialty Industrial Machinery,18930000000,Toshiba Corp,Industrials,6502
South Korea,Consumer Electronics,18910000000,"LG Electronics, Inc.",Technology,066570
Indonesia,Auto Parts,18900000000,Astra International Tbk PT,Consumer Discretionary,ASJA
United States,Advertising Agencies,18800000000,Omnicom Group Inc.,Communication Services,OMC
China,Aerospace & Defense,18790000000,"Aecc Aviation Power Co.,Ltd",Industrials,600893
United States,Packaging & Containers,18780000000,International Paper Company,Consumer Discretionary,INPAP
United Kingdom,Asset Management,18780000000,Scottish Mortgage Investment Trust plc,Financials,SMT
Canada,Grocery Stores,18770000000,George Weston Limited,Consumer Staples,WN
United States,Computer Hardware,18760000000,"NetApp, Inc.",Technology,NTAP
United States,REIT—Healthcare Facilities,18760000000,"Healthpeak Properties, Inc.",Real Estate,PEAK
Japan,Insurance—Property & Casualty,18750000000,"MS&AD Insurance Group Holdings, Inc.",Financials,8725
United States,Broadcasting,18740000000,The Liberty SiriusXM Group,Communication Services,LSXMB
Switzerland,Banks,18720000000,Credit Suisse Group AG,Financials,CSGN
China,Airlines,18720000000,Air China Ltd,Industrials,601111
China,Engineering & Construction,18690000000,Power Construction Corp of China Ltd,Industrials,601669
China,Medical Care Facilities,18690000000,"JD Health International, Inc.",Healthcare,8ZN
Australia,Other Industrial Metals & Mining,18670000000,South32 Limited,Basic Materials,S32
China,Utilities—Independent Power Producers,18570000000,"Huaneng Power International, Inc.",Utilities,600011
Macao,Resorts & Casinos,18520000000,Sands China Ltd,Consumer Discretionary,1928
United States,Aerospace & Defense,18490000000,HEICO Corporation,Industrials,HEI
China,Capital Markets,18440000000,GF Securities Co. Ltd,Financials,000776
United States,Specialty Retail,18410000000,Genuine Parts Company,Consumer Discretionary,GPC
South Africa,Telecom Services,18410000000,Vodacom Group Ltd,Communication Services,VOD
United States,Electronic Gaming & Multimedia,18350000000,"Take-Two Interactive Software, Inc.",Communication Services,TTWO
China,Capital Markets,18350000000,China Merchants Securities Co. Ltd,Financials,600999
United States,Biotechnology,18330000000,"Alnylam Pharmaceuticals, Inc.",Healthcare,ALNY
Japan,Department Stores,18320000000,Aeon Co. Ltd,Consumer Discretionary,8267
Hong Kong,REIT—Retail,18270000000,Link Real Estate Investment Trust,Real Estate,0823
Japan,Drug Manufacturers—Specialty & Generic,18270000000,Shionogi & Co. Ltd,Healthcare,4507
United States,Communication Equipment,18250000000,Ubiquiti Inc.,Technology,UI
United States,Engineering & Construction,18250000000,"Quanta Services, Inc.",Industrials,PWR
United States,Drug Manufacturers—Specialty & Generic,18240000000,"Catalent, Inc.",Healthcare,CTLT
China,Capital Markets,18230000000,Haitong Securities Co. Ltd,Financials,600837
Japan,Beverages—Brewers,18210000000,Asahi Group Holdings Ltd,Consumer Staples,2502
South Africa,Banks,18210000000,Capitec Bank Holdings Ltd,Financials,CPI
Canada,Restaurants,18190000000,Restaurant Brands International Inc.,Consumer Discretionary,QSR
China,Restaurants,18180000000,"Yum China Holdings, Inc.",Consumer Discretionary,YUMC
Czechia,Utilities—Renewable,18160000000,CEZ AS,Utilities,CEZ
France,Waste Management,18140000000,Veolia Environnement SA,Industrials,VIE
United States,Rental & Leasing Services,18120000000,"Avis Budget Group, Inc.",Industrials,CAR
