address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"Two Seaport Lane Suite 1400, Boston, Massachusetts, 02210",United States of America,Chemicals,$4.0B,Cabot Corp,"4,491",$4.3B,1 617 3450100,www.cabotcorp.com
"Suite 600, 2021 Spring Road, Oak Brook, Illinois, 60523",United States of America,Consumer Packaged Goods,$2.7B,TreeHouse Foods Inc,"10,000",$4.3B,1 708 4095315,www.treehousefoods.com/home/default.aspx
"2nd Floor, Optimum House, Clippers Quay, Salford Quays, M503XP",United Kingdom,Construction,$364.2M,Kier Group Plc,"10,267",$4.3B,44 1767 355000,www.kier.co.uk
"1089 Cornich El-Nil, Garden City, Cairo",Egypt,Metals and Mining,$450.9M,Ezz Steel Company SAE,,$4.3B,20 2 27989900,www.ezzindustries.com
"Urban Net Uchisaiwai-Cho, 1-1-13, Shimbashi, Minato-Ku, Tokyo, 105-8681",Japan,Metals and Mining,$765.9M,Nippon Light Metal Holdings Co Ltd,"12,750",$4.3B,81 3 68107100,www.nikkeikinholdings.co.jp
"1919 Flowers Cir, Thomasville, Georgia, 31757",United States of America,Consumer Packaged Goods,$5.7B,Flowers Foods Inc,"8,900",$4.3B,1 912 2269110,www.flowersfoods.com
"Berli Jucker House, 99 Sukhumvit 42 Road, Khlong Toei, Bangkok, 10110",Thailand,Paper and Packaging,$4.5B,Berli Jucker Public Co Ltd,"42,820",$4.3B,66 23 671111,www.berlijucker.co.th
"10 Boulevard De Grenelle, Cs 63205, Paris, 75015",France,Metals and Mining,$2.9B,Eramet SA,"8,493",$4.3B,33 1 45384242,www.eramet.com
"Rothausstrasse 61, Muttenz, 4132",Switzerland,Chemicals,,Clariant International Ltd,"13,235",$4.3B,41 61 4695111,www.clariant.com
"Ste 900, 630 3rd Ave Sw, Calgary, Alberta, T2P4L4",Canada,Technology and Communications,$14.3B,Shaw Communications Inc,"10,000",$4.3B,1 403 7504534,www.shaw.ca
"3-260, Toyota, Oguchi-Cho, Niwa-Gun, Aichi, 480-0195",Japan,Automotive,$1.1B,Tokai Rika Co Ltd,"20,083",$4.3B,81 58 7955211,www.tokai-rika.co.jp
"5 International Business Park, #05-00 Mewah Building, Singapore, 609914",Singapore,Consumer Packaged Goods,$369.7M,Mewah International Inc,"1,865",$4.3B,65 6 8295200,www.mewahgroup.com
"Tour Voltaire, 1 Place Des Degres, Cs 81162, Paris, 92059",France,Financial Services,$12.5B,Worldline SA,"20,711",$4.4B,33 1 34349595,worldline.com
"30 Frank Lloyd Wright Dr, Ann Arbor, Michigan, 48105-9757",United States of America,Leisure and Arts,$12.3B,Domino's Pizza Inc,"13,500",$4.4B,1 734 9303030,www.dominos.com
"Carrera 43a N 1a Sur - 143, Centro Santillana, Torre Sur, Piso 2, Medellin, Antioquia, 050021",Colombia,Construction,$1.7B,Grupo Argos SA,"11,250",$4.4B,57 4 3158400,www.grupoargos.com
"No.6, Bau Chiang Road, Hsin-Tien District, New Taipei, 231",Taiwan,Technology and Communications,$2.4B,Gigabyte Technology Co Ltd,"7,500",$4.4B,886 2 89124000,www.gigabyte.com
"3300, Centro, Jaragua Do Sul, 89.256-900",Brazil,Industrial Goods and Machinery,$30.7B,WEG SA,"36,987",$4.4B,55 47 32764000,www.weg.net
"0, Hong Kong",Hong Kong,Technology and Communications,$9.6B,HKT Trust and HKT Ltd,"15,600",$4.4B,852  29625926,www.hkt.com
"1-2-4, Meieki, Nakamura-Ku, Nagoya-Shi, Aichi, 450-8501",Japan,Transport and Logistics,$3.2B,Nagoya Railroad Co Ltd,"28,803",$4.4B,81 52 5712111,www.meitetsu.co.jp
"Skabos Vei 4, Oslo, 0278",Norway,Construction,$1.4B,Veidekke ASA,"7,829",$4.4B,47 2 1055000,www.veidekke.no
"Urbannet Nagoya Nexta Bldg., 1-1-1, Higashisakura, Higashi-Ku, Nagoya-Shi, Aichi, 461-0005",Japan,Automotive,$4.0B,NGK Spark Plug Co Ltd,"16,145",$4.4B,81 52 2186095,www.ngkntk.co.jp
"65 Gresham Street, London, EC2V7NQ",United Kingdom,Technology and Communications,$571.4M,Capita Plc,"52,000",$4.4B,44 20 77991525,www.capita.com
"One Market, Ste. 400., San Francisco, California, 94105",United States of America,Technology and Communications,$42.7B,Autodesk Inc,"12,600",$4.4B,1 415 5075000,www.autodesk.com
"32 Zhongguancun Ave, Haidian District, 18/F, Hesheng Bldg, Beijing, 100080",China,Government and Non-Profit Organisations,$5.2B,TAL Education Group,"16,200",$4.4B,86 10 52926692,en.100tal.com
"3-9-3, Honjo-Nishi, Kita-Ku, Osaka-Shi, 531-8510",Japan,Medical Equipment,$1.4B,Nipro Corp,"36,259",$4.4B,81 6 63722331,www.nipro.co.jp
"4-8-33, Shibaura, Minato-Ku, Tokyo, 108-8533",Japan,Construction,$1.3B,Kandenko Co Ltd,"10,264",$4.4B,81 3 54762111,www.kandenko.co.jp
"Two Commerce Square, 2001 Market Street, Suite 3600, Philadelphia, Pennsylvania, 19103",United States of America,Chemicals,$6.0B,Axalta Coating Systems Ltd,"12,000",$4.4B,1 855 5471461,www.axalta.com/corporate/en_US.html
"72/1 Mu 7, Setthakit 1 Road, Thasai, Muangsamutsakhon, Samut Sakhon, 74000",Thailand,Consumer Packaged Goods,$2.4B,Thai Union Group PCL,"1,680",$4.4B,66 34 816500,www.thaiunion.com
"4-26-3, Higashi-ikebukuro, Toshima-Ku, Tokyo, 170-8424",Japan,Retailing,$3.0B,Ryohin Keikaku Co Ltd,"8,882",$4.4B,81 3 39894403,ryohin-keikaku.jp
"Kent House, 14-17 Market Place, London, W1W8AJ",United Kingdom,Construction,$948.2M,Morgan Sindall Group Plc,"6,666",$4.4B,44 20 73079200,www.morgansindall.com
"5707 Southwest Parkway, Building 1, Suite 275, Austin, Texas, 78735",United States of America,Construction,$30.3B,Digital Realty Trust Inc,"3,030",$4.4B,1 415 7386500,www.digitalrealty.com
"22 Shangwu Waihuan Road, Zhengdong New District, Zhengzhou, Henan, 450018",China,Financial Services,$2.6B,Bank of Zhengzhou Co Ltd,"5,574",$4.4B,86 371 67009056,www.zzbank.cn
"Oskar-Meixner-Strasse 1, Mannheim, 68163",Germany,Construction,$1.4B,Bilfinger SE,"30,566",$4.4B,49 621 4590,www.bilfinger.com
"Suite 100, One Post Oak Central, 2000 Post Oak Boulevard, Houston, Texas, 77056",United States of America,Energy and Utilities,,Apache Corp,"2,272",$4.4B,1 713 2966000,www.apachecorp.com
"1001 Noble Energy Way, Houston, Texas, 77041",United States of America,Energy and Utilities,,Noble Energy Inc,"2,330",$4.4B,1 281 8723100,www.nblenergy.com
"Churchill Court, Westmoreland Road, Bromley, BR11DP",United Kingdom,Financial Services,$2.8B,Direct Line Insurance Group Plc,"9,786",$4.4B,44 113 2920667,www.directlinegroup.co.uk
"Rua Coronel Dulcidio, 800, Batel, Curitiba, 80.420-170",Brazil,Power,$4.0B,Companhia Paranaense de Energia SA,"5,902",$4.4B,554133314011,www.copel.com
"6th Fl, 65 Gresham Street, London, EC2V7NQ",United Kingdom,Pharmaceuticals and Healthcare,$4.5B,Mediclinic International Plc,"34,964",$4.4B,44 20 79549600,www.mediclinic.com
"No.1 Liutai Road, Liuzhou, Guangxi, 545007",China,Industrial Goods and Machinery,$1.8B,Guangxi Liugong Machinery Co Ltd,"17,122",$4.4B,86 772 3886510,www.liugong.com
"1000 N. West Street, Suite 1200, Wilmington, Delaware, 19801",United States of America,Technology and Communications,$34.5B,Marvell Technology Inc,"6,695",$4.5B,1 302 2954840,www.marvell.com
"2-8-5, Hatchobori, Chuo-Ku, Tokyo, 104-0032",Japan,Construction,$1.7B,Toda Corp,"5,751",$4.5B,81 3 35351354,www.toda.co.jp
"Ul. Pulawska 15, Warszawa, 02-515",Poland,Financial Services,$9.8B,PKO Bank Polski SA,"25,503",$4.5B,48 22 5803392,www.pkobp.pl
"Bajaj Auto Ltd. Complex, , Mumbai-Pune Road, Akurdi, 411035",India,Automotive,$12.5B,Bajaj Auto Ltd,"7,317",$4.5B,91 20 66107150,www.bajajauto.com
"Av. Corifeu De Azevedo Marques, 3.097, Butanta, Sao Paulo, 05.339-900",Brazil,Retailing,$7.6B,Raia Drogasil SA,"50,320",$4.5B,55 11 37695678,www.rd.com.br
"3501 County Road 6 E, Elkhart, Indiana, 46514-7663",United States of America,Construction,$2.7B,LCI Industries,"13,900",$4.5B,1 574 5351125,www.lci1.com
"General Hornos 690, Buenos Aires, 1272",Argentina,Technology and Communications,$1.4B,Telecom Argentina SA,"22,385",$4.5B,54 11 31002222,www.telecom.com.ar
"Ben Gurion International Airport, Lod, Tel Aviv, 70100",Israel,Aerospace and Defense,,Israel Aerospace Industries Ltd,"14,331",$4.5B,972 3 9353111,www.iai.co.il
"Morinaga Plaza Bldg. Honkan, 5-33-1, Shiba, Minato-Ku, Tokyo, 108-8384",Japan,Consumer Packaged Goods,$1.7B,Morinaga Milk Industry Co Ltd,"6,839",$4.5B,81 3 37980111,www.morinagamilk.co.jp
"Ahumada 251, Santiago, 8320206",Chile,Financial Services,$10.3B,Banco de Chile,"12,284",$4.5B,56 2 26531111,ww3.bancochile.cl
"No. 888 Shangjiang Street, Daoli District, Haerbin, Heilongjiang, 150000",China,Financial Services,$450.2M,Harbin Bank Co Ltd,"6,823",$4.5B,86 451 86779933,www.hrbb.com.cn
"66-1, Chungshan Road, Tu Cheng District, New Taipei, 236",Taiwan,Technology and Communications,$2.3B,Foxconn Interconnect Technology Ltd,"52,988",$4.5B,,www.fit-foxconn.com
"One Federal Street, Boston, Massachusetts, 2110",United States of America,Technology and Communications,$15.1B,Iron Mountain Inc,"26,750",$4.5B,1 617 5354766,www.ironmountain.com
"18 True Tower, Ratchadaphisek Road, Huai Khwang, Bangkok, 10310",Thailand,Technology and Communications,$4.9B,True Corp Public Co Ltd,"2,672",$4.5B,66 26 431111,investor.truecorp.co.th
"2-18-12, Oshiage, Sumida-Ku, Tokyo, 131-8522",Japan,Transport and Logistics,$4.9B,Tobu Railway Co Ltd,"19,621",$4.5B,81 3 59622067,www.tobu.co.jp
"Ozerkovskaya Naberezhnaya, D. 24, Moscow, 115184",Russia,Metals and Mining,$6.6B,ALROSA,"34,579",$4.5B,7 495 7771240,eng.alrosa.ru
"No. 2, Jalan Pju 1a/7, Ara Damansara, Level 3, Main Block, Plantation Tower, Petaling  Jaya, 47301",Malaysia,Consumer Packaged Goods,$7.0B,Sime Darby Plantation Sdn Bhd,"80,000",$4.5B,60 3 78484000,www.simedarbyplantation.com
"8111 Lyndale Ave S, Bloomington, Minnesota, 55420-1196",United States of America,Industrial Goods and Machinery,$11.8B,The Toro Company,"9,520",$4.5B,1 952 8888801,www.thetorocompany.com
"Menara Public Bank, 146 Jalan Ampang, Kuala Lumpur, 50450",Malaysia,Financial Services,$19.3B,Public Bank Berhad,"19,364",$4.5B,60 3 21638888,www.publicbankgroup.com
"No. 201 Haiyoudajie, Sanhe City, Yanjiao Economic &Amp; Development Zone, Langfang, Hebei, 065201",China,Energy and Utilities,$10.0B,China Oilfield Services Ltd,"14,779",$4.5B,86 10 84521685,www.cosl.com.cn
"Muehlenfeldstrasse 1, Holzminden, Niedersachsen, 37603",Germany,Ingredients,$16.1B,Symrise AG,"11,627",$4.5B,49 5531 900,www.symrise.com
"5200 Illumina Way, San Diego, California, 92122-4616",United States of America,Medical Equipment,$32.4B,Illumina Inc,"9,800",$4.5B,1 858 2024500,www.illumina.com
"Carrera 48 N 32 B Sur 139, Avenida Las Vegas, Antioquia, Envigado, A.A.3479",Colombia,Retailing,$1.0B,Almacenes Exito SA,"41,090",$4.5B,57 4 6049696,www.exito.com
"No.578 Wuzhong Road, Shanghai, 201103",China,Consumer Packaged Goods,$2.1B,Bright Dairy & Food Co Ltd,"11,999",$4.5B,86 21 54584520,en.brightdairy.com
"One Park Place., Suite 600, Dublin, California, 94568",United States of America,Business and Consumer Services,$4.6B,TriNet Group Inc,"3,500",$4.5B,1 510 3525000,www.trinet.com
"No 167, Ninth Avenue, Zhengzhou, Henan, 450016",China,Industrial Goods and Machinery,$3.0B,Zhengzhou Coal Mining Machinery Group Company Ltd,"16,774",$4.5B,86 371 67891015,www.zmj.com
"Elsaesserstrasse 174, Basel, 4056",Switzerland,Consumer Packaged Goods,$1.6B,Bell Food Group Ltd,"12,859",$4.5B,41 58 3262000,www.bellfoodgroup.com/de
"2-31-11, Ningyo-Cho, Nihombashi, Chuo-Ku, Tokyo, 103-8650",Japan,Industrial Goods and Machinery,$1.3B,Nisshinbo Holdings Inc,"21,112",$4.5B,81 3 56958833,www.nisshinbo.co.jp
"2-56, Suda-Cho, Mizuho-Ku, Nagoya-Shi, Aichi, 467-8530",Japan,Industrial Goods and Machinery,$4.3B,NGK Insulators Ltd,"20,099",$4.5B,81 52 8727181,www.ngk.co.jp
"Ground Floor Sandown Chambers, Sandown,  Sandown ,Sandton, 2031",South Africa,Technology and Communications,$424.6M,Datatec Ltd,"10,933",$4.5B,27 11 2331000,www.datatec.co.za
"32nd Street, Bonifacio Global City, Metro Manila, 1634",Philippines,Financial Services,$6.1B,Aboitiz Equity Ventures Inc,229,$4.5B,63 2 88862800,aboitiz.com
"5000 S Broad St, Philadelphia, Pennsylvania, 19112",United States of America,Retailing,$2.5B,Urban Outfitters Inc,"9,660",$4.5B,1 215 4545500,www.urbn.com
"1222 Rama Iii Road, Bang Phongphang Yan Nawa, Bangkok, 10120",Thailand,Financial Services,$7.0B,Bank of Ayudhya Public Co Ltd,"14,093",$4.6B,66 22 962000,www.krungsri.com
"1610 West End Ave., Suite 200, Nashville, Tennessee, 37203",United States of America,Construction,$4.5B,Louisiana-Pacific Corp,"4,800",$4.6B,1 615 9865600,lpcorp.com
"3-2-11, Mitejima, Nishiyodogawa-Ku, Osaka-Shi, 555-0012",Japan,Industrial Goods and Machinery,$6.8B,Daifuku Co Ltd,"12,436",$4.6B,81 6 64721261,www.daifuku.com
"Suite 2060, 700 Louisiana St., Houston, Texas, 77002",United States of America,Energy and Utilities,$2.8B,Crestwood Equity Partners LP,645,$4.6B,1 832 5192200,www.crestwoodlp.com
"Akerbogatan 45, Linkoping, 58188",Sweden,Aerospace and Defense,$5.5B,Saab AB,"18,098",$4.6B,46 13 180000,www.saab.com
"71, Beotkkot-Gil, Daedeok-Gu, Daejeon, 34337",South Korea,Consumer Packaged Goods,$10.2B,KT&G Corp,"4,102",$4.6B,82 42 9395000,www.ktng.com
"67 N Park St, Huzhou, Zhejiang, 313100",China,Industrial Goods and Machinery,$309.4M,Chaowei Power Holdings Ltd,"14,000",$4.6B,86 572 6562868,www.chaowei.com.hk
"111 Gordon Baker Rd Suite 801, North York, Ontario, M2H3R1",Canada,Paper and Packaging,$7.9B,CCL Industries Inc,"15,900",$4.6B,1 416 7568500,www.cclind.com
"Shmotkin Beniyamin 30, Rishon Lezion, 75050",Israel,Retailing,$1.6B,Shufersal Ltd,"16,600",$4.6B,972 3 9481727,www.shufersal.co.il
"Suite 200, 625 Maryville Centre Drive, Saint Louis, Missouri, 63141",United States of America,Technology and Communications,$10.8B,Amdocs Ltd,"30,288",$4.6B,1 314 2127000,www.amdocs.com
"4801 E Washington St, Phoenix, Arizona, 85034-2004",United States of America,Pharmaceuticals and Healthcare,,Magellan Health Inc,"9,000",$4.6B,1 602 5726050,www.magellanhealth.com
"1 Discovery Place, Sandton, 2196",South Africa,Financial Services,$5.3B,Discovery Ltd,"12,650",$4.6B,27 11 5292888,www.discovery.co.za/portal
"34f Tower One Ayala Triangle, Ayala Avenue, Makati, 1226",Philippines,Construction,$8.5B,Ayala Corp,"14,455",$4.6B,63 2 9083000,www.ayala.com.ph
"5501 Headquarters Dr, Plano, Texas, 75024-5837",United States of America,Retailing,$1.4B,Rent-A-Center Inc,"14,290",$4.6B,1 972 8011100,www.rentacenter.com
"Block A Riverside Iv, 70 Sir John Rogerson's Quay, Dublin, 2",Ireland,Medical Equipment,$19.5B,Steris Plc,"16,422",$4.6B,353 1 2322000,www.steris.com
"108 Tran Hung Dao, Quan Hoan Kiem, Hanoi",Vietnam,Financial Services,$6.3B,Vietnam Joint Stock Commercial Bank for Industry and Trade,"25,076",$4.6B,84 4 39421030,www.vietinbank.vn
"19-18, Sakurada-Cho, Atsuta-Ku, Nagoya-Shi, Aichi, 456-8511",Japan,Energy and Utilities,$1.9B,Toho Gas Co Ltd,"6,180",$4.6B,81 52 8729341,www.tohogas.co.jp
"250, Noda, Noda-Shi, Chubu , 278-8601",Japan,Consumer Packaged Goods,$10.3B,Kikkoman Corp,"7,686",$4.6B,81 47 1235111,www.kikkoman.co.jp
"98 Yigal Alon St., Electra Tower Fl. 50, Tel Aviv-Yafo, 97891",Israel,Construction,$1.4B,Elco Ltd,"14,029",$4.6B,972 3 6939670,www.elco.co.il
"1223 Lower Water St., B-6th Floor, P.O. Box 910, Halifax, Nova Scotia, B3J3S8",Canada,Power,$10.9B,Emera Inc,"7,140",$4.6B,1 902 4286494,www.emera.com
"No.21, Kuanggong Road, Pingdingshan, Henan, 467099",China,Metals and Mining,$3.8B,Pingdingshan Tianan Coal Mining Company Ltd,"65,281",$4.6B,86 375 2723076,www.pmta.com.cn
"2801 80th St, Kenosha, Wisconsin, 53143",United States of America,Industrial Goods and Machinery,$12.8B,Snap-on Inc,"12,800",$4.6B,1 414 6565200,www.snapon.com
"Wattana, Bangkok, 10110",Thailand,Financial Services,$7.5B,Krung Thai Bank PCL,"18,937",$4.6B,66 22 552222,krungthai.com/en/personal
"Piekstraat 2, Rotterdam, 3071EL",Netherlands,Construction,,Hunter Douglas NV,"23,398",$4.6B,31 10 4869911,www.hunterdouglasgroup.com
"911 Panorama Trail S, Rochester, New York, 14625-0397",United States of America,Business and Consumer Services,$42.3B,Paychex Inc,"16,000",$4.6B,1 585 3856666,www.paychex.com
"Suite 200, 126 York Street, Ottawa, Ontario, K1N5T5",Canada,Technology and Communications,$49.3B,Shopify Inc,"10,000",$4.6B,1 613 2412828,www.shopify.com
"1049 Camino Dos Rios, Thousand Oaks, California, 91360",United States of America,Technology and Communications,$19.0B,Teledyne Technologies Inc,"14,500",$4.6B,1 805 3734545,www.teledyne.com
"Av. Brigadeiro Faria Lima, 4.100 / 15 Andar, Itaim Bibi, Sao Paulo, 04.538-132",Brazil,Energy and Utilities,$6.3B,Cosan SA,"41,763",$4.6B,551138979797,ir.cosan.com.br
"8-7, Kakuda-Cho, Kita-Ku, Osaka-Shi, 530-8350",Japan,Retailing,$1.2B,H2O Retailing Corp,"9,856",$4.6B,81 6 63673181,www.h2o-retailing.co.jp
"2 Rue Du Fort Bourbon, Luxembourg, 1249",Luxembourg,Technology and Communications,$2.5B,Millicom International Cellular SA,"20,687",$4.6B,352  27759021,www.millicom.com
"1615 Wynkoop St, Denver, Colorado, 80202-1106",United States of America,Energy and Utilities,$8.6B,Antero Resources Corp,554,$4.6B,1 303 3577310,www.anteroresources.com
"Sickla Industrivag 19, Nacka, 13154",Sweden,Industrial Goods and Machinery,$24.0B,Epiroc AB,"16,217",$4.6B,46 1 07550000,www.epirocgroup.com
"1600 Tysons Blvd, #1400, Attn: Treasury Dept., Mclean, Virginia, 22102",United States of America,Business and Consumer Services,$4.5B,Maximus Inc,"35,800",$4.6B,1 480 8899500,www.maximus.com
"100 Crescent Center, Pkwy Ste 800, Tucker, Georgia, 30084-7062",United States of America,Construction,$2.2B,GMS Inc,"5,475",$4.6B,1 800 3924619,www.gms.com
"Piazzale Ostiense, 2, Roma, 00154",Italy,Power,$3.3B,Acea SpA,"9,674",$4.6B,39 06 57991,www.gruppo.acea.it
"15901 Olden St, Sylmar, California, 91342-1051",United States of America,Construction,$436.1M,Tutor Perini Corp,"7,800",$4.6B,1 818 3628391,www.tutorperini.com
"7628 Thorndike Road, Greensboro, North Carolina, 27409",United States of America,Technology and Communications,$10.2B,Qorvo Inc,"8,900",$4.6B,1 336 6641233,www.qorvo.com
"Suite 700, 545 E John Carpenter Freeway, Irving, Texas, 75062-3932",United States of America,Media,$6.9B,Nexstar Media Group Inc,"11,160",$4.6B,1 972 3738800,www.nexstar.tv
"Pl 11 / Keilasatama 5, Espoo, 02151",Finland,Industrial Goods and Machinery,$5.7B,Valmet Corp,"17,511",$4.7B,358 1 06720000,www.valmet.com
"Kamiyacho Trust Tower, 4-1-1, Toranomon, Minato-Ku, Tokyo, 105-6950",Japan,Technology and Communications,$5.8B,Itochu Techno-Solutions Corp,"9,291",$4.7B,81 3 64036000,www.ctc-g.co.jp
"Calle Morelli 139, Lima",Peru,Retailing,$3.6B,Inretail Peru Corp,"58,305",$4.7B,51 1 6188000,www.inretail.pe
"Piazza Salimbeni, 3, Siena, 53100",Italy,Financial Services,$2.8B,Banca Monte dei Paschi di Siena SpA,"21,079",$4.7B,39 0577 294111,www.mps.it
"Flat 15 Ketton Court, Ketton Close, Luton, London, Greater London, LU20QZ",United Kingdom,Technology and Communications,,IHS Markit Ltd,"16,000",$4.7B,44 20 72602000,ihsmarkit.com
"32 Insadong 7-gil, Jongno-gu, Seoul, 04320",South Korea,Construction,,SK Ecoplant Co Ltd,"4,854",$4.7B,82  237007114,www.skec.com
"Bahnhofstrasse 36, Zuerich, 8001",Switzerland,Financial Services,$13.5B,Julius Baer,"6,667",$4.7B,41 58 8881111,www.juliusbaer.com
"2-4-8, Daiba, Minato-Ku, Tokyo, 137-8088",Japan,Media,$1.9B,Fuji Media Holdings Inc,"6,492",$4.7B,81 3 35708000,www.fujimediahd.co.jp
"43rd Floor Robinsons Equitable Tower, Ortigas Center, Adb Avenue Corner, P. Poveda Street, Pasig, 1600",Philippines,Consumer Packaged Goods,$7.8B,JG Summit Holdings Inc,"22,827",$4.7B,63 2 86337631,www.jgsummit.com.ph
"Tsingtao Brewery Mansion, Wusi Square, Hong Kong Middle Road, Qingdao, Shandong , 266071",China,Consumer Packaged Goods,$17.7B,Tsingtao Brewery Co Ltd,"32,947",$4.7B,86 532 85713831,www.tsingtao.com.cn
"1 Corporate Way, Lansing, Michigan, 48951",United States of America,Financial Services,,Jackson National Life Insurance Co,,$4.7B,1 517 3815500,www.jackson.com/
"Calzada Del Valle 407 Oriente Del Valle, San Pedro Garza Garcia, 66220",Mexico,Consumer Packaged Goods,$5.4B,Gruma SAB de CV,"23,511",$4.7B,52 81 83993300,www.gruma.com
"20 S Wacker Dr, Chicago, Illinois, 60606",United States of America,Financial Services,$63.2B,CME Group Inc,"3,480",$4.7B,1 312 9303011,www.cmegroup.com
"Wienerbergerplatz 1, 1100",Austria,Construction,$3.2B,Wienerberger AG,"19,002",$4.7B,43 1 601920,www.wienerberger.com
"Room 2503, Admiralty Centre, Tower 1, 18 Harcourt Road, Hong Kong",Hong Kong,Construction,$889.8M,Poly Property Group Co Ltd,"8,799",$4.7B,852  28106216,www.polyhongkong.com.hk
"Loxley House, 2 Oakwood Court, Little Oak Drive, Nottingham, NG150DR",United Kingdom,Automotive,$336.3M,Pendragon PLC,"5,254",$4.7B,44 1623 725200,www.pendragonplc.com
"30, Munhyeongeumyung-Ro, Nam-Gu, Busan, 48400",South Korea,Financial Services,$1.9B,BNK Financial Group Inc,80,$4.7B,82 51 6203000,www.bnkfg.com
"825 Town And Country Ln Ste 1500, Houston, Texas, 77024-2235",United States of America,Energy and Utilities,$1.4B,Par Pacific Holdings Inc,"1,336",$4.7B,1 281 8994800,www.parpacific.com
"No.83 Yellow River Road, Rare-Earth Hi-Tech Industrial Dev Zone, Baotou, 014030",China,Metals and Mining,$14.5B,China Northern Rare Earth Group High-Tech Co Ltd,"9,511",$4.7B,86 472 2207525,www.reht.com
"Urbannet Nagoya Bldg., 1-1-10, Higashisakura, Higashi-Ku, Nagoya-Shi, Aichi, 461-8581",Japan,Metals and Mining,$1.5B,Daido Steel Co Ltd,"12,605",$4.7B,81 52 9637501,www.daido.co.jp
"80 Strand, London, Greater London, WC2R0RL",United Kingdom,Media,$8.2B,Pearson plc,"20,744",$4.7B,44 20 70102000,www.pearson.com
"No. 6 Yongpingmen Street, Jiangbei District, Chongqing, 400024",China,Financial Services,$2.8B,Bank of Chongqing Co Ltd,"4,839",$4.7B,86 23 63367688,www.cqcbank.com
"56 Top Gallant Rd, Po Box 10212, Stamford, Connecticut, 06904-2212",United States of America,Business and Consumer Services,$26.1B,Gartner Inc,"16,600",$4.7B,1 203 9640096,www.gartner.com/en
"168 Robinson Road, #30-01 Capital Tower, Singapore, 068912",Singapore,Construction,,CapitaLand Group Pte Ltd,"10,473",$4.7B,65 6 7132888,www.capitaland.com/international/en.html
"1133 Innovation Way, Sunnyvale, California, 94089",United States of America,Technology and Communications,$10.4B,Juniper Networks Inc,"10,191",$4.7B,1 408 7452000,www.juniper.net
"5601 N Macarthur Blvd, Irving, Texas, 75038",United States of America,Consumer Packaged Goods,$10.4B,Darling Ingredients Inc,"9,900",$4.7B,1 972 7170300,www.darlingii.com
"87, M.G. Road, Fort, Mumbai, 400001",India,Financial Services,$2.6B,The New India Assurance Co Ltd,"13,929",$4.7B,91 22 22708263,www.newindia.co.in
"L 8 28 Freshwater Pl, Southbank, Victoria, 3006",Australia,Chemicals,$5.2B,Incitec Pivot Ltd,"5,000",$4.7B,61 3 86954400,www.incitecpivot.com.au
"2 Waterhouse Square, 140, Birmingham, West Midlands, 00000",United Kingdom,Media,$3.9B,ITV plc,"6,315",$4.7B,44 20 72613061,www.itvplc.com
"25f, No. 7, Jinyuan Road, Jiangbei District, Chongqing, 400020",China,Pharmaceuticals and Healthcare,$24.5B,Chongqing Zhifei Biological Products Co Ltd,"4,800",$4.8B,86 23 86358226,www.zhifeishengwu.com
"Pier 1 Bay 1, San Francisco, California, 94111",United States of America,Construction,$113.2B,Prologis Inc,"2,053",$4.8B,1 415 3949000,www.prologis.com
"2. Bd Moulay Youssef Bp: 11141, Casablanca, 20000",Morocco,Financial Services,$7.9B,Attijariwafa Bank SA,"20,590",$4.8B,212 52 2298888,www.attijariwafabank.com
"1616 Woodall Rodgers Fwy, Dallas, Texas, 75202",United States of America,Power,,Oncor Electric Delivery Co LLC,"4,537",$4.8B,1 214 4862000,www.oncor.com
"2500 Innovation Way N, Greenfield, Indiana, 46140-9163",United States of America,Pharmaceuticals and Healthcare,$6.0B,Elanco Animal Health Inc,"9,000",$4.8B,,www.elanco.com
"Rudeboksvagen 1, Lund, 22655",Sweden,Industrial Goods and Machinery,$13.1B,Alfa Laval AB,"19,818",$4.8B,46 46 366500,www.alfalaval.com
"2645 Silver Crescent Dr, Charlotte, North Carolina, 28273-3566",United States of America,Construction,$958.1M,JELD-WEN Holding Inc,"24,700",$4.8B,1 704 3785700,investors.jeld-wen.com
"Route des Acacias 60, Geneva, Genf, 1211",Switzerland,Financial Services,,Pictet & Cie Group SCA,"5,040",$4.8B,41 58 3232323,www.pictet.com
"501 N. Broadway, Attn: James G. Laschober, St. Louis, Missouri, 63102-2102",United States of America,Financial Services,$6.6B,Stifel Financial Corp,"8,600",$4.8B,1 314 3422000,www.stifel.com
"333 Dunsmuir Street, Vancouver, British Columbia, V6B5R3",Canada,Power,,BC Hydro,,$4.8B,1 800 2249376,www.bchydro.com
"Glanbia House, Ring Road, Kilkenny, R95E866",Ireland,Consumer Packaged Goods,$3.4B,Glanbia plc,"8,071",$4.8B,353 56 7772200,www.glanbia.com
"Hahnstrasse 43, Frankfurt, Hessen, 60528",Germany,Technology and Communications,,T-Systems International GmbH,"37,500",$4.8B,49 69 200600,www.t-systems.com
"Praia De Botafogo 501 - 5. E 6. Andares, Rio De Janeiro, 22.250-040",Brazil,Financial Services,$19.1B,Banco BTG Pactual SA,"4,900",$4.8B,55 21 32629600,www.btgpactual.com
